Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.181999999636,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,3001,0,125,0.033999999932,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,5501,0,204,0.051999999896,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,8001,0,279,0.027999999944,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,10501,0,355,0.041999999916,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,13001,0,448,0.065999999868,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,15501,0,594,0.295999999408,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,18001,0,1210,0.287999999424,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,20501,0,1427,0.165999999668,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,23001,0,1864,0.215999999568,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,25501,0,2111,0.087999999824,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,28001,0,2255,0.081999999836,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,30501,0,2364,0.053999999892,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,33001,0,2451,0.05999999988,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,35501,0,2549,0.043999999912,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,38001,0,2633,0.037999999924,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,40501,0,2698,0.033999999932,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,43001,0,2784,0.037999999924,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,45501,0,2864,0.041999999916,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,48001,0,2929,0.037999999924,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,50501,0,2994,0.02999999994,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,53001,0,3069,0.041999999916,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,55501,0,3135,0.033999999932,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,58001,0,3226,0.031999999936,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,60501,0,3315,0.027999999944,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,63001,0,3400,0.037999999924,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,65501,0,3473,0.031999999936,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,68001,0,3571,0.037999999924,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,70501,0,3649,0.031999999936,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,73001,0,3722,0.043999999912,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
