Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,50,0,0,0.8571428396501461,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,1172,0,822,0.8785714222959184,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,1607,1,1027,0.8900523513609825,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,2314,1,1456,0.4545454462809919,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,2592,0,1624,0.7291666514756948,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,2864,1,1737,0.7142857057823131,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,3130,0,1908,0.7083333185763893,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,3653,1,2217,0.6287878740243343,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,3936,1,2372,0.5740740634430729,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,4734,0,2922,0.8461538298816571,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,5008,1,3073,0.6923076789940831,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,5412,1,3301,0.7884615232988169,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,5906,1,3585,0.7343749885253908,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,6183,0,3720,0.46296295438957497,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,6481,1,3840,0.6588235216608997,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,6921,1,4096,0.5599999925333334,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,7218,1,4225,0.4482758543400715,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,7711,0,4479,0.5849056493414029,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,8008,0,4615,0.49019606881968497,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,8781,1,5132,0.7345132678361658,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,9041,0,5261,0.48076922152366885,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,9267,1,5348,0.6153845996055232,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,9565,0,5464,0.7254901889657824,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,9800,0,5590,0.6538461412721897,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,10326,1,5964,0.5681818052685954,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,10660,1,6124,0.6103896024624728,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,10999,1,6277,0.702127652105025,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,11437,0,6521,0.685185172496571,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,11754,1,6701,0.5348837084910766,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,12231,1,6851,0.6981981950531613,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,12501,1,6986,0.6428571275510208,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
156,13031,1,7310,0.7826086843100191,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
161,13361,1,7471,0.65151514164371,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
166,13632,0,7597,0.43333332611111125,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
171,14141,1,7856,0.7363636296694216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
176,14494,0,8053,0.5090908998347109,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
181,14985,1,8216,0.8115941989778058,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
186,15435,1,8387,0.7844311330273585,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
191,15791,1,8544,0.5616438279226873,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
196,16192,0,8756,0.5921052553670362,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
201,16522,1,8903,0.727272717827627,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
206,16891,1,9064,0.7008546948644898,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
211,17225,1,9207,0.6565656499336803,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
216,17537,1,9362,0.47169810430758297,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
221,18149,1,9762,0.647058814013841,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
226,18446,1,9891,0.6619718216623688,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
231,18768,1,10072,0.6142857055102042,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
236,19122,0,10256,0.7787610550552119,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
241,19520,1,10502,0.65151514164371,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
246,19933,0,10729,0.6756756665449235,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
