Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.907999998184,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,3001,0,1480,0.431999999136,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,5501,0,2480,0.55999999888,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,8001,0,3471,0.647999998704,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,10501,0,4388,0.601999998796,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,13001,0,5334,0.605999998788,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,15501,0,6092,0.255999999488,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,18001,0,7063,0.41999999916,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,20501,0,7922,0.183999999632,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,23001,0,8973,0.533999998932,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,25501,0,10051,0.431999999136,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,28001,0,10973,0.375999999248,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,30501,0,11621,0.393999999212,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,33001,0,12058,0.121999999756,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,35501,0,13002,0.50999999898,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,38001,0,13592,0.425999999148,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,40501,0,14166,0.105999999788,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,43001,0,14828,0.437999999124,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
