Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.85999999828,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,1488,1,567,0.7567567363038721,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,1860,1,764,0.7387387320834349,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,2151,0,886,0.8780487590719815,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,2858,1,1208,0.8648648414901394,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,4441,1,1664,0.277999999444,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,5390,1,1960,0.363999999272,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,6127,0,2084,0.355999999288,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,7414,0,2464,0.45999999908,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,8580,1,2903,0.7724867704431567,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,9847,1,3308,0.37931033174791956,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,10250,1,3502,0.61797752114632,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,11470,1,3938,0.5769230695266273,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,12624,1,4380,0.36999999926,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,13362,0,4716,0.6581196524947038,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,13812,0,4966,0.45161288865764876,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,14634,1,5308,0.7012986921909261,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,15814,1,5677,0.26999999946000003,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,16687,1,5870,0.543999998912,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,17534,1,6211,0.6056337942868479,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,18778,1,6445,0.4285714234693878,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,19045,1,6575,0.6444444301234571,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,20279,1,6995,0.5116278950784211,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,20645,1,7128,0.49999999418604657,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,21369,1,7236,0.445999999108,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,22254,1,7528,0.31481480898491093,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,22952,1,7687,0.30232557436452157,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,24092,1,7861,0.40999999918,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,24787,0,8027,0.3809523718820864,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,25503,1,8174,0.48275861236623085,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,26770,1,8459,0.41379309869203335,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
156,27958,1,8702,0.5135134996347703,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
161,28768,0,9001,0.2844827561682521,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
