Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.88999999822,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
6,3001,0,1824,0.88999999822,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
11,5501,0,3617,0.915999998168,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
16,8001,0,5422,0.887999998224,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
21,10501,0,7226,0.873999998252,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
26,13001,0,9008,0.907999998184,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
31,15105,0,10450,0.897999998204,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
36,17605,0,12252,0.905999998188,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
41,18927,0,13282,0.8956521661247638,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
46,21040,0,14980,0.9115646196492203,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
51,23233,0,16656,0.8713235262083694,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
56,24963,0,17734,0.897999998204,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
61,27186,0,19290,0.851999998296,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
66,29246,0,20694,0.9139999981720001,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
71,31028,0,21833,0.877999998244,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
76,33029,0,23463,0.8926829224747175,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
81,33999,0,23882,0.891999998216,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
86,34769,0,24473,0.8556700942714424,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
91,36057,0,25412,0.8819875721615679,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
96,37259,0,26228,0.8503649604001279,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
101,38363,0,27081,0.8872180384419697,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
106,38888,0,27461,0.9090908999081727,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
111,40155,0,28140,0.90999999818,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
116,41390,0,28768,0.88999999822,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
121,41931,0,29030,0.8074866266979325,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
126,42738,0,29409,0.8928571322278913,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
131,43959,0,30318,0.8382352817906576,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
136,45451,1,31504,0.8690476087018142,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
141,47204,0,32832,0.8627450895809305,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
146,48448,0,33751,0.9210526234995384,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
151,49024,0,34015,0.920754713506586,0.1,500,False,1e-07,0.001,0.001,0.001,True,20
