Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,156,0,0,0.7806451562539022,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,1117,1,751,0.8396226335884658,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,2032,0,1460,0.8620689556084028,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,2912,1,2119,0.877358482289071,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,4087,0,3012,0.8596491152662359,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,5064,1,3699,0.8533333276444445,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,5626,1,4058,0.8560605995752985,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,6541,1,4683,0.8442622881617845,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,7464,0,5290,0.7674418545159546,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,7964,1,5599,0.8113207470630118,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,8508,1,5948,0.8163265222823824,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,9429,1,6571,0.7438016467454409,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,9960,1,6903,0.857142849489796,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,11649,1,7833,0.781999998436,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,12105,0,8118,0.7926829171624035,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,13290,0,8692,0.7216748750697664,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,14334,0,9243,0.7007042228848442,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,14754,1,9487,0.7530864104557233,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,15166,1,9720,0.7191011155157179,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,15569,1,9949,0.691358016156074,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,16395,1,10335,0.6864686445991134,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,17128,1,10795,0.6666666592592594,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,17648,1,11105,0.6164383477200227,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,18915,1,11925,0.7289719558040004,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,19469,1,12206,0.7123287622443235,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,19894,1,12437,0.6190476092214665,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,20318,1,12673,0.614457823922195,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,21077,1,13096,0.7177419296956297,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,21681,0,13332,0.6567796582339845,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,22135,0,13572,0.6296296218564245,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,22601,1,13745,0.6217616548095252,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,22959,0,13922,0.6478873148184886,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,23495,1,14208,0.6842105173130195,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,23871,0,14402,0.5733333256888891,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,24279,1,14612,0.7121212013314969,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,24712,1,14823,0.6406249899902345,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,25084,1,15003,0.6029411676038063,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,25406,1,15175,0.6440677856937663,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,25825,0,15368,0.6323529318771628,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,26372,1,15635,0.6091953952966047,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,26760,0,15834,0.6129032159209159,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,27146,1,16041,0.6197183011307281,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,27578,0,16249,0.6987951723036726,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,27931,1,16404,0.6538461454635109,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,28427,1,16659,0.49999999324324335,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
226,28784,1,16833,0.608695643352237,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
231,29573,0,17236,0.5131578879847647,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
236,29941,1,17414,0.5733333256888891,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
241,30412,1,17648,0.5428571351020409,0.1,7500,False,1.5e-05,0.001,0.001,0.001,False,20,0.9
