Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,89,0,0,0.931818171229339,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,1135,0,841,0.8965517138327389,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,1739,0,1319,0.8227847997115848,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,2317,1,1659,0.873096442268546,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,2801,0,1937,0.8802816839416783,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,3353,1,2333,0.9222222119753087,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,3846,0,2656,0.8725490110534411,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,4662,0,3279,0.8734177104630669,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,5123,0,3600,0.7820512720249837,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,5721,0,4045,0.871428558979592,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,6694,0,4703,0.7965116232760953,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,7339,0,5165,0.8026315683864268,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,7775,1,5443,0.7956989161752805,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,8201,1,5722,0.8354430273994554,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,8713,0,5990,0.7199999958857143,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,9487,0,6540,0.780487795359905,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,9955,1,6831,0.7499999914772728,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,10818,0,7419,0.7979797899193961,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,11655,0,7803,0.6973293747853728,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,12060,1,8037,0.7701149336768399,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,13066,0,8400,0.761999998476,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,13550,1,8696,0.7878787759412307,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,14012,1,8982,0.7124999910937502,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,14411,0,9210,0.6436781535209408,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,14949,0,9525,0.6808510565866909,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,15347,1,9752,0.763157884695291,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,15750,0,9994,0.7428571322448981,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,16171,0,10248,0.6764705782871974,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,16856,0,10702,0.7968749875488284,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,17179,0,10892,0.7017543736534321,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,17543,1,11115,0.6833333219444446,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,17882,0,11307,0.7460317341899725,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,18254,1,11474,0.6198347056212008,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,18573,0,11641,0.6349206248425298,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,18929,1,11822,0.5789473608033242,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,19263,0,11994,0.6724137815101072,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,19587,0,12181,0.57352940333045,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,19915,1,12342,0.6617646961505192,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,20272,0,12535,0.7058823425605538,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,20634,1,12721,0.5942028899390885,1.0,15000,False,1.5e-05,0.001,0.001,0.001,True,20,0.9
