Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
1,97,0,0,0.8333333246527779,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
6,468,0,248,0.7384615271005919,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
11,802,1,434,0.7027026932067204,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
16,1159,1,664,0.7681159308968706,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
21,1540,1,903,0.7590361354332996,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
26,1918,1,1113,0.8117646963321801,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
31,2277,1,1339,0.7464788627256499,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
36,2667,1,1575,0.871428558979592,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
41,3066,1,1825,0.7945205370613625,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
46,3423,1,2060,0.8055555443672842,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
51,3791,0,2298,0.6749999915625001,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
56,4162,1,2518,0.7499999895833335,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
61,4516,1,2713,0.8082191670106964,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
66,4867,0,2941,0.6119402893740256,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
71,5219,1,3160,0.7910447643127647,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
76,5558,1,3375,0.7727272610192839,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
81,5924,1,3591,0.7027026932067204,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
86,6286,1,3824,0.7681159308968706,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
91,6639,1,4051,0.6575342375680242,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
96,6989,1,4252,0.7042253421940093,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
101,7336,1,4467,0.7681159308968706,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
106,7693,1,4671,0.6619718216623688,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
111,8055,1,4879,0.7848101166479732,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
116,8415,1,5101,0.7727272610192839,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
121,8750,1,5307,0.7794117532439448,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
126,9105,1,5517,0.695652163831128,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
131,9452,0,5726,0.6461538362130179,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
136,9806,1,5948,0.7777777669753089,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
141,10163,1,6153,0.7945205370613625,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
146,10522,1,6373,0.88888887654321,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
151,10885,0,6577,0.6969696864095503,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
156,11247,0,6793,0.9242424102387514,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
161,11612,1,7011,0.7941176353806231,1.0,500,False,1e-07,0.001,0.001,0.001,True,20
