Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.90999999818,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,3001,0,1818,0.935999998128,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,5156,0,3308,0.885999998228,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,7030,0,4827,0.8749999954427083,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,9365,0,6474,0.877999998244,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,10813,0,7666,0.9119999927040001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,12997,0,9175,0.897999998204,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,14958,0,10483,0.901999998196,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,17001,0,11875,0.917999998164,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,18735,0,13296,0.8881578888936981,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,20637,0,14875,0.9571428503061226,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,21999,0,15984,0.9051724059898931,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,24132,0,17773,0.9624060078014586,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,25902,0,18909,0.8999999982,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,27886,0,20489,0.9012345641924504,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,30018,0,22237,0.8699999956500001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,31204,0,23153,0.8975903560386124,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,32927,0,24260,0.895999998208,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,34584,0,25528,0.9176954694745042,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,36334,0,26646,0.921999998156,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,38146,0,27814,0.875999998248,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,39967,0,29025,0.903999998192,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,42467,0,30831,0.88999999822,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,44574,0,32244,0.891999998216,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,46477,0,33515,0.891999998216,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
126,48048,0,34743,0.9014778280715378,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
131,49548,0,35633,0.8999999982,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
