Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,109,0,0,0.8148148072702333,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,606,1,351,0.593406586885642,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,949,1,568,0.8769230634319529,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,1266,1,762,0.8571428435374152,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,1596,1,970,0.7656249880371095,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,1910,1,1153,0.7166666547222225,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,2328,1,1391,0.851562493347168,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,2698,0,1641,0.8124999873046878,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,3040,0,1852,0.6617646961505192,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,3391,0,2070,0.7999999885714287,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,3750,1,2299,0.7313432726665183,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,4103,1,2518,0.65151514164371,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,4460,0,2744,0.7941176353806231,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,4831,1,2968,0.9014084380083319,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,5202,0,3198,0.7714285604081634,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,5592,0,3459,0.8656716288705727,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,6034,1,3720,0.8618420995931441,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,6426,0,3974,0.8117646963321801,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,6831,1,4258,0.7826086843100191,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,7145,1,4451,0.8548386958896985,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,7495,0,4667,0.8484848356290177,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,7868,1,4914,0.7460317341899725,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,8196,0,5130,0.7246376706574251,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,8551,0,5373,0.8823529282006922,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,8943,1,5613,0.7777777681755831,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
126,9295,0,5840,0.7727272610192839,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
131,9667,1,6099,0.8769230634319529,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
