Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.6,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
1,96,0,0,0.6736842034349031,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
6,837,0,359,0.5212765901991853,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
11,1229,0,551,0.6666666577777779,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
16,1595,0,724,0.597014916462464,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
21,1933,0,880,0.6533333246222224,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
26,2277,0,1022,0.5324675255523699,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
31,2626,1,1177,0.6029411676038063,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
36,2968,1,1315,0.5308641909769853,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
41,3406,1,1503,0.4874999939062501,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
46,3782,0,1671,0.46774192793964636,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
51,4141,0,1824,0.4399999941333334,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
56,4479,1,1969,0.49999999264705897,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
61,4825,1,2093,0.46808510140335,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
66,5191,1,2239,0.5072463694601975,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
71,5547,1,2389,0.7586206765755056,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
76,5901,1,2537,0.4516128959417275,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
81,6281,0,2705,0.48275861236623085,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
86,6629,0,2837,0.44578312715923946,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
91,6974,1,2970,0.523809515495087,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
96,7305,1,3112,0.5438596395814098,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
101,7672,0,3257,0.3787878730486686,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
106,8043,1,3419,0.46774192793964636,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
111,8401,1,3537,0.5365853593099347,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
116,8770,0,3670,0.49999999324324335,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
121,9135,0,3808,0.5499999908333335,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
126,9516,0,3952,0.4776119331699712,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
131,9866,1,4079,0.43636362842975224,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
136,10227,0,4204,0.4285714217687076,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
141,10549,0,4326,0.39999999333333347,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
146,11135,0,4542,0.380434778473535,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
151,11485,0,4657,0.36956521337429116,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
156,11844,0,4778,0.4117646998269897,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
161,12192,1,4898,0.3859649055093876,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
166,12529,1,5016,0.3382352891435987,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
171,12966,0,5152,0.3670886029482455,0.01,500000,True,3e-05,0.001,0.001,0.001,True,20
