Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
1,343,0,0,0.9122806990868986,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
6,772,0,329,0.8888888747795417,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
11,1225,0,680,0.8305084604998566,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
16,1591,1,937,0.9047618939909299,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
21,2064,1,1208,0.8902438970107079,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
26,2397,1,1443,0.7971014377231675,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
31,2751,1,1704,0.904761890400605,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
36,3143,0,1981,0.8906249860839847,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
41,3593,0,2312,0.8548386958896985,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
46,4079,0,2680,0.906249985839844,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
51,4530,0,3010,0.9117646924740487,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
56,4877,0,3249,0.8169013969450508,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
61,5239,0,3500,0.8181818075560805,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
66,5610,0,3744,0.8313252911888519,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
71,6090,0,4099,0.904761890400605,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
76,6431,0,4335,0.8970588103373704,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
81,6794,0,4581,0.7910447643127647,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
86,7155,0,4803,0.8734177104630669,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
91,7502,0,5029,0.8333333217592594,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
96,7844,1,5253,0.9078947248961221,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
101,8399,0,5661,0.8260869445494646,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
106,8796,0,5908,0.8315789386149586,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
111,9227,0,6209,0.8857142730612247,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
116,9678,0,6517,0.8194444330632717,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
121,10057,0,6770,0.8674698690666282,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
126,10415,0,7008,0.8484848356290177,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
131,10822,0,7266,0.7857142776967931,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
136,11297,0,7584,0.7906976652244457,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
141,11770,0,7915,0.7605633695695301,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
146,12341,1,8318,0.6986301274160257,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
151,12675,0,8520,0.8507462559590111,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
156,13080,0,8803,0.8450704106328112,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
161,13477,0,9049,0.7816091864182853,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
166,13819,1,9267,0.7424242311753905,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
171,14303,0,9594,0.7968749875488284,0.01,500000,True,1e-05,0.001,0.001,0.001,True,20
