Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
1,250,0,0,0.8433734905888615,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
6,764,0,355,0.8666666570370372,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
11,1170,0,625,0.8117646963321801,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
16,1513,0,842,0.7968749875488284,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
21,1896,0,1097,0.7571428463265308,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
26,2284,1,1363,0.7258064399063477,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
31,2653,1,1603,0.8082191670106964,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
36,3010,1,1819,0.8266666556444446,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
41,3365,1,2027,0.7142857040816328,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
46,3708,1,2253,0.7499999882812503,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
51,4083,1,2482,0.8441558331927814,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
56,4430,1,2704,0.7246376706574251,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
61,4787,0,2932,0.8333333207070709,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
66,5147,1,3147,0.815384602840237,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
71,5498,0,3363,0.6571428477551022,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
76,5865,1,3584,0.8923076785798819,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
81,6239,1,3827,0.6984126873267827,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
86,6587,1,4059,0.7413792975624259,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
91,6959,0,4284,0.712643669969613,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
96,7404,1,4584,0.7432432331994158,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
101,7749,1,4795,0.7258064399063477,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
106,8091,1,5021,0.721311463585058,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
111,8464,0,5264,0.8227847997115848,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
116,8797,0,5454,0.7714285604081634,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
121,9133,1,5668,0.7543859516774395,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
126,9487,0,5887,0.8059701372243263,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
131,9845,0,6096,0.8076922973372783,0.01,500000,True,1e-07,0.005,0.001,0.001,True,20
