Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,146,0,0,0.8344827528656362,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,669,0,367,0.6867469796777472,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,1072,1,615,0.8148148047553728,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,1547,0,906,0.8613861300852859,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,1996,1,1201,0.8372092925905896,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,3278,0,2231,0.7594936612722322,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,4629,0,2984,0.88999999822,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,6445,0,4159,0.9139999981720001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,7804,0,5247,0.8869565140264651,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,10304,0,7028,0.901999998196,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
