Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.793999998412,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,1039,1,372,0.761363627711777,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,1454,1,640,0.8518518413351625,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,1876,1,925,0.8518518413351625,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,2288,0,1190,0.70886075052075,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,2734,1,1472,0.8351648259871998,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,3177,1,1765,0.8453608160272081,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,3620,1,2075,0.794871784681131,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,4029,1,2349,0.8518518413351625,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,4434,1,2588,0.6835442951450089,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,4842,1,2845,0.7721518889601027,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,5253,0,3081,0.6999999912500001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,5661,1,3307,0.6823529331487891,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,6070,1,3541,0.7317073081499109,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,6486,1,3775,0.7195121863474124,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,6892,1,4027,0.6499999918750001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,7306,1,4263,0.7857142763605444,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,7713,1,4512,0.6585365773349198,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,8137,1,4778,0.6785714204931974,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,8555,1,5021,0.744186037858302,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,8965,1,5246,0.5783132460444187,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,9363,1,5451,0.6410256328073637,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,9772,1,5683,0.6097560901249257,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,10176,1,5889,0.6666666587301588,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,10587,0,6093,0.6190476116780046,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
126,11003,1,6334,0.6049382641365647,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
131,11422,1,6533,0.7073170645449138,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
136,11827,1,6729,0.6219512119274243,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
141,12228,1,6931,0.5802469064167048,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
146,12632,1,7126,0.6071428499149661,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
151,13038,1,7325,0.6249999921875001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
156,13449,0,7504,0.7073170645449138,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
161,13861,1,7701,0.41666666170634925,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
166,14268,1,7888,0.4487179429651546,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
171,14681,0,8066,0.6588235216608997,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
176,15089,1,8241,0.5802469064167048,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
181,15500,1,8422,0.5487804811124332,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
186,15909,1,8614,0.5609756029149316,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
191,16310,1,8803,0.5185185121170555,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
196,16721,1,8997,0.5749999928125001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
201,17122,1,9179,0.46835442445120984,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
206,17529,1,9377,0.5487804811124332,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
211,17941,1,9579,0.5609756029149316,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
216,18361,1,9773,0.6097560901249257,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
221,18772,1,9948,0.5952380881519276,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
226,19174,1,10120,0.5249999934375001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
231,19579,0,10293,0.4999999937500001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
