Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,115,0,0,0.8508771855186212,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,725,0,454,0.9052631483656511,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,1195,0,791,0.804597691901176,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,1654,0,1115,0.8023255720659818,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,2162,1,1450,0.8717948643436336,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,2625,1,1763,0.8617021184925306,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,3082,0,2102,0.8352941078200693,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,3643,0,2504,0.8640776615138092,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,4126,0,2827,0.8695652079395086,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,4606,1,3178,0.9230769129332208,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,5052,0,3473,0.9090908987603307,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,5530,0,3801,0.8659793725156766,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,5957,1,4088,0.924731172852353,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,6410,0,4401,0.8351648259871998,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,6862,1,4710,0.8105263072576179,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,7331,1,5020,0.8666666570370372,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,7786,0,5352,0.7840909001807852,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,8237,0,5641,0.8199999918,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,8687,0,5943,0.8791208694602103,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,9130,0,6252,0.8764044845347811,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,9563,0,6543,0.8478260777410209,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,10008,1,6846,0.8131868042506945,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,10464,1,7147,0.9130434683364841,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,10913,1,7439,0.8723404162516977,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,11349,1,7725,0.8636363538223142,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
126,11800,0,8029,0.8554216764407028,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
131,12239,1,8311,0.8255813857490537,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
136,12696,1,8607,0.7356321754525037,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
141,13139,0,8932,0.82142856164966,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
146,13577,1,9195,0.72093022417523,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
151,14022,1,9479,0.7865168450953164,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
156,14467,1,9766,0.8369565126417771,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
161,14919,0,10035,0.7634408520060124,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
166,15372,0,10327,0.7362637281729261,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
171,15809,1,10603,0.8089887549551825,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
176,16268,1,10886,0.817204292288126,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
181,16710,1,11142,0.8522727175878101,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
186,17156,1,11390,0.712643669969613,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
191,17615,1,11663,0.7422680335848657,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
196,18078,1,11920,0.8505747028669575,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
201,18526,1,12175,0.6470588159169551,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
206,18975,1,12398,0.5869565153591684,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
211,19425,1,12624,0.6703296629634103,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
216,19877,1,12822,0.6516853859361192,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
221,20325,0,13067,0.5783132460444187,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
226,20777,1,13265,0.7040816254685549,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
231,21213,1,13489,0.4941176412456748,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
236,21658,1,13718,0.6477272653667356,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
241,22104,1,13923,0.62068964803805,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
246,22554,1,14154,0.5274725216761261,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
251,23003,1,14380,0.472527467334863,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
256,23463,1,14602,0.6842105191135736,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
261,23919,1,14816,0.48351647820311566,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
266,24370,1,15030,0.5999999933333334,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
271,24832,1,15278,0.702127652105025,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
276,25274,0,15530,0.6956521663516069,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
281,25734,1,15780,0.642105256398892,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
286,26172,1,16015,0.8021977933824419,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
291,26627,1,16236,0.7553191409008603,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
296,27070,1,16464,0.7272727190082646,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
301,27518,1,16703,0.5531914834766863,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
306,27969,1,16931,0.5862068898137139,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
311,28429,1,17191,0.7303370704456509,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
316,28890,1,17417,0.6210526250415513,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
321,29353,1,17676,0.702127652105025,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
326,29803,1,17918,0.6976744104921581,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
331,30254,1,18128,0.7444444361728396,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
336,30708,1,18360,0.46666666148148156,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
341,31163,1,18588,0.6292134760762531,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
346,31629,1,18817,0.49473683689750697,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
351,32087,1,19037,0.6631578877562327,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
356,32549,1,19242,0.4693877503123699,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
361,33009,1,19457,0.6989247236674762,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
366,33467,1,19653,0.5384615325443788,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
371,33918,1,19861,0.5161290267082901,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
376,34379,1,20069,0.5698924669904036,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
381,34857,0,20274,0.633663360062739,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
386,35320,1,20483,0.4777777724691359,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
391,35774,1,20680,0.5937499938151043,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
396,36233,1,20893,0.5113636305526861,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
401,36694,1,21085,0.5789473623268699,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
406,37152,1,21250,0.6195652106569,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
411,37608,1,21451,0.5274725216761261,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
416,38064,1,21644,0.5543478200614368,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
421,38540,1,21852,0.5940594000588179,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
426,38996,1,22042,0.5263157839335181,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
431,39463,1,22242,0.4456521690689982,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
436,39929,1,22431,0.43010752225690835,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
441,40390,1,22633,0.4479166620008681,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
446,40855,1,22827,0.5978260804584122,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
451,41306,1,23026,0.5632183843308232,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
456,41774,1,23240,0.5222222164197532,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
461,42228,1,23451,0.42045454067665294,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
466,42676,1,23649,0.5764705814532873,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
471,43125,1,23836,0.5473684152908588,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
476,43562,1,24022,0.4705882297577855,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
481,44021,1,24217,0.5652173851606807,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
486,44479,1,24407,0.46808510140335,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
491,44928,1,24594,0.4999999943181819,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
496,45364,1,24785,0.44943819719732364,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
501,45816,1,24997,0.4606741521272567,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
506,46274,1,25182,0.310344824019025,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
511,46729,1,25359,0.37634408197479485,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
516,47187,0,25518,0.4347826039697543,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
521,47643,1,25700,0.5425531857175193,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
526,48114,1,25879,0.463917520990541,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
531,48570,1,26068,0.49450548907136826,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
536,49029,1,26255,0.4731182744825992,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
541,49483,1,26443,0.5617977464966546,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
546,49945,1,26605,0.49999999444444454,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
