Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,436,0,0,0.8712643658131853,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,849,0,289,0.8461538331360949,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,1651,0,892,0.8526315699722993,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,2414,0,1429,0.8310810754656685,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,3447,0,2232,0.7499999895833335,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,4230,0,2832,0.8481012550873259,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,5455,0,3854,0.7313432726665183,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,6585,0,4761,0.8767123167573656,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,7848,0,5731,0.768595034970289,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,8759,0,6269,0.9112903189060875,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,9149,0,6510,0.8839285635363522,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,9969,0,7104,0.9384615312426037,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,11054,1,7989,0.8842105170083103,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,11867,1,8658,0.8999999850000003,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,12320,1,8988,0.903225791883455,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,12949,0,9464,0.8977272625258266,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,13468,0,9742,0.9056603730865077,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,13917,0,10055,0.8484848399142946,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,14336,0,10326,0.8602150445138167,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,15242,1,11001,0.9065420476024107,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,15624,0,11298,0.9166666513888891,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,16060,0,11624,0.8923076785798819,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,16375,1,11835,0.7538461422485209,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,16932,1,12073,0.8656716385609268,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,17321,1,12312,0.8849557443809226,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
