Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,51,0,0,0.6399999872000003,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,448,0,221,0.6666666581196582,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,726,1,357,0.5070422463796866,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,1043,1,517,0.3999999927272729,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,1338,1,603,0.34177214757250446,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,1648,0,718,0.37777776938271623,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,1981,0,846,0.5961538346893493,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,2233,1,900,0.5999999880000003,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,2514,1,981,0.1777777738271606,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,2787,0,1052,0.3389830451019823,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,3069,1,1134,0.23728813157138762,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,3297,0,1192,0.5111110997530867,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,3578,1,1287,0.2765957387958354,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,3917,0,1443,0.39215685505574793,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,4242,1,1584,0.25531914350384805,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,4526,0,1657,0.2884615329142013,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,4890,0,1804,0.5362318762864946,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,5191,1,1884,0.44444443621399193,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,5495,0,1966,0.5416666553819447,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,5877,0,2112,0.3823529355536333,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,6284,0,2247,0.7053571365593113,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,6628,0,2397,0.41379309631391215,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,7038,1,2597,0.6833333219444446,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,7400,1,2805,0.41379309631391215,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,7752,0,2965,0.6666666601307191,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
126,8139,1,3206,0.8085106210955187,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
131,8454,0,3396,0.4565217292060494,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
136,8788,1,3577,0.5254237199080726,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
141,9106,1,3744,0.5945945865595327,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
146,9464,0,3931,0.5897435821827746,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
151,9918,1,4202,0.3571428507653063,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
