Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
1,49,0,0,0.6249999869791669,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
6,398,0,227,0.863636344008265,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
11,696,1,375,0.3877550941274471,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
16,976,1,465,0.5161290239334029,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
21,1288,0,572,0.6031745936004033,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
26,1700,1,708,0.47368420221606666,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
31,2062,1,849,0.7843137101114959,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
36,2425,1,1025,0.285714280612245,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
41,2782,0,1150,0.298387094367846,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
46,3081,0,1238,0.43749999316406263,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
51,3501,1,1450,0.56363635338843,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
56,3769,1,1539,0.5199999896000003,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
61,4056,0,1629,0.4909090819834713,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
66,4338,1,1711,0.21311475060467622,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
71,4636,0,1814,0.1578947340720222,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
76,4921,1,1897,0.384615378698225,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
81,5216,0,1990,0.45098038331411017,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
86,5504,0,2056,0.25925925445816195,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
91,5767,1,2121,0.31481480898491093,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
96,6238,0,2221,0.25827814398491294,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
101,6524,1,2272,0.11538461316568052,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
106,6830,1,2356,0.238095232426304,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
111,7147,1,2407,0.24137930618311543,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
116,7544,1,2491,0.09803921376393698,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
121,7896,1,2563,0.38356163858134745,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
126,8213,0,2619,0.22368420758310253,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
131,8538,1,2663,0.24074073628257897,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
136,8857,1,2727,0.26388888522376547,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
141,9169,1,2772,0.26315789012003704,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
146,9416,1,2820,0.2549019557862362,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
151,9737,1,2894,0.15384615088757403,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
156,10085,0,2946,0.24074073851165984,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
161,10408,1,3008,0.1923076898422091,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
166,10703,1,3063,0.24999999519230778,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
171,10985,0,3113,0.3793103382877528,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
176,11246,0,3160,0.33999999320000013,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
181,11535,0,3207,0.31818181336088164,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
186,11916,1,3263,0.4057970955681581,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
191,12203,1,3314,0.2830188625845498,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
196,12533,1,3374,0.1568627420222992,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
201,12840,0,3442,0.24999999687500005,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
206,13157,0,3524,0.10526315604801481,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
211,13451,1,3571,0.38805969570060156,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
216,13733,0,3634,0.10869564981096413,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
221,14035,1,3675,0.24528301423994314,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
226,14388,0,3748,0.15714285489795923,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
231,14800,0,3849,0.268518516032236,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
236,15154,1,3914,0.2823529378546713,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
241,15464,1,3965,0.14999999812500003,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
246,15800,1,4029,0.21568627028066137,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
251,16156,1,4087,0.18181817851239676,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
256,16470,1,4134,0.4225352053164056,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
261,16800,1,4198,0.2894736804016621,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
266,17086,0,4261,0.07017543736534321,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
271,17368,1,4315,0.3134328311427936,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
276,17764,1,4410,0.31249999348958346,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
281,18182,0,4482,0.3043478234404537,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
286,18504,0,4552,0.19178081929067373,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
291,18766,1,4586,0.10714285522959188,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
296,19135,1,4660,0.22368420758310253,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
301,19509,0,4703,0.16666666358024698,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
306,19929,1,4786,0.3139534847214711,0.01,500000,True,1e-07,0.0007,0.001,0.001,True,20
