Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,501,0,0,0.755999998488,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,1331,0,423,0.6666666597222223,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,1689,1,659,0.8305084604998566,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,2452,1,849,0.66999999866,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,3205,1,1287,0.47999999040000024,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,4082,1,1744,0.39999998857142893,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,5306,1,2415,0.49999998809523843,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,6007,1,2697,0.57142856122449,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,6874,1,3146,0.5882352768166096,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,7622,0,3275,0.34999999930000003,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,9328,1,3767,0.375999999248,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,9696,0,3983,0.6315789307479229,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,10902,1,4464,0.4374999863281255,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,11778,1,4864,0.5819672083445311,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,12944,1,5166,0.6162790626014063,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,13866,0,5459,0.6136363566632232,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,14327,1,5699,0.6170212700316886,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,15540,0,6018,0.283999999432,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
91,16293,1,6253,0.5882352825836219,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
96,18196,1,6717,0.5616438279226873,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
101,18595,1,6866,0.3958333292100695,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
106,19354,1,7007,0.475999999048,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
111,20604,1,7289,0.5930232489183344,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
116,21379,1,7445,0.5663716764037905,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
121,22044,1,7591,0.4081632569762601,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
126,23216,0,7739,0.141999999716,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
131,23965,1,8073,0.6285714106122454,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
136,24965,1,8294,0.25559105349651423,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
141,25662,1,8446,0.45454544077135034,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
146,25856,1,8531,0.5757575583103771,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
151,26287,1,8683,0.38461538132807366,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
156,26678,1,8863,0.2954545387396696,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
161,27449,1,9020,0.3956043912570946,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
166,28669,1,9261,0.6842105083102499,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
171,29449,1,9377,0.247999999504,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
176,29871,1,9542,0.48275861236623085,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
181,30600,1,9635,0.163999999672,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
186,31344,1,9837,0.5116278950784211,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
191,31788,1,10063,0.4888888780246916,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
196,32634,1,10214,0.4787878758861341,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
201,33420,0,10417,0.5499999954166667,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
206,33826,1,10622,0.1702127623358987,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
211,34174,1,10789,0.33333332407407434,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
216,34888,1,11047,0.384615374753452,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
221,35738,1,11255,0.23999999680000006,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
226,36067,1,11390,0.40963854928146326,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
231,36480,0,11549,0.44285713653061237,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
236,36903,0,11731,0.655172391200952,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
241,38516,1,11951,0.155999999688,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
246,39762,1,12302,0.45679011781740597,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
251,40421,1,12479,0.4054053944485029,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
256,41224,1,12641,0.36440677657282394,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
261,43259,1,13161,0.181999999636,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
266,43620,1,13227,0.4740740705624143,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
271,44415,1,13393,0.6170212634676328,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
276,44674,1,13488,0.5142856995918372,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
281,44973,1,13613,0.5833333171296301,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
286,45770,1,13760,0.185999999628,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
291,46518,1,14013,0.3018867867568531,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
296,48147,0,14247,0.153999999692,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
301,49281,1,14535,0.36507936218190984,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
306,49693,1,14697,0.428571416326531,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
311,50583,1,14943,0.33636363330578517,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
316,51444,1,15177,0.5249999934375001,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
321,52308,1,15368,0.4036697210672503,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
326,52747,0,15564,0.6470588044982705,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
331,53570,1,15797,0.3846153796844182,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
336,54336,1,15919,0.20999999958,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
341,54598,1,16020,0.5357142665816333,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
346,55785,0,16230,0.215999999568,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
351,56940,0,16372,0.243999999512,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
356,57281,1,16512,0.5666666477777784,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
361,58009,0,16658,0.41666666232638894,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
366,59249,1,16928,0.151999999696,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
371,60101,1,17116,0.5053763386518674,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
376,60882,0,17263,0.504424774297126,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
381,61920,1,17453,0.5238095113378688,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
386,63045,1,17657,0.5102040712203251,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
391,64563,1,17955,0.35555555160493835,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
