Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
1,388,0,0,0.8759689899845763,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
6,989,0,431,0.8404255229741966,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
11,2321,0,1395,0.8508771855186212,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
16,3295,0,2112,0.8571428483965016,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
21,4064,0,2647,0.8461538389217621,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
26,4842,0,3124,0.8325791817530354,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
31,5727,0,3768,0.8061224407538526,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
36,6240,0,4107,0.8351648259871998,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
41,6901,0,4590,0.857142847723705,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
46,7793,0,5125,0.7936507873519779,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
51,8898,0,5944,0.8295454451188018,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
56,9526,0,6299,0.7405063244271751,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
61,10494,0,6913,0.7045454465392563,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
66,11755,0,7788,0.8399999888000002,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
71,12398,0,8192,0.7478260804536863,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
76,13019,0,8565,0.7551020331112037,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
81,13477,0,8822,0.7078651605857847,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
86,14355,0,9309,0.7142857069970846,0.01,500000,True,1e-07,0.001,0.001,0.001,True,20
