Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
1,321,0,0,0.7156249977636718,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
6,606,1,164,0.6428571313775513,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
11,885,1,311,0.7678571291454085,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
16,1164,1,461,0.5535714186862247,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
21,1438,0,601,0.7142857015306125,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
26,1721,1,758,0.6842105143120962,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
31,2012,1,911,0.7017543736534321,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
36,2305,1,1056,0.7068965395362666,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
41,2596,0,1213,0.7966101559896585,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
46,2883,1,1367,0.6491227956294247,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
51,3174,1,1518,0.7413792975624259,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
56,3459,1,1671,0.6140350769467531,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
61,3741,0,1833,0.5370370270919069,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
66,4025,1,1988,0.6727272604958681,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
71,4308,1,2150,0.6909090783471077,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
76,4589,0,2301,0.7192982329947679,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
81,4877,1,2462,0.6785714164540819,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
86,5168,1,2620,0.7068965395362666,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
91,5458,0,2777,0.5172413703923902,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
96,5743,1,2931,0.7068965395362666,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
101,6029,0,3077,0.7321428440688779,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
106,6316,0,3232,0.7413792975624259,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
111,6605,0,3392,0.5789473582640815,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
116,6895,1,3563,0.6140350769467531,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
121,7180,1,3715,0.5789473582640815,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
126,7470,1,3864,0.7166666547222225,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
