Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
1,217,0,0,0.7407407373113855,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
6,1078,1,556,0.7222222121913582,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
11,1414,1,745,0.6617646961505192,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
16,1768,0,913,0.7499999921875001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
21,2142,0,1122,0.7230769119526629,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
26,2540,0,1322,0.5940594000588179,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
31,2868,1,1509,0.6461538362130179,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
36,3228,1,1698,0.5942028899390885,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
41,3539,1,1865,0.7580645039021855,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
46,3919,1,2060,0.6470588159169551,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
51,4311,1,2253,0.7374999907812502,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
56,4659,1,2432,0.720588224697232,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
61,5011,1,2625,0.721311463585058,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
66,5356,0,2819,0.647058814013841,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
71,5678,0,2991,0.6111111026234569,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
76,6016,1,3166,0.6190476092214665,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
81,6345,1,3345,0.7058823425605538,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
86,6664,1,3525,0.6153846059171599,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
91,7032,1,3719,0.6406249899902345,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
96,7348,1,3892,0.6101694811835682,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
101,7683,0,4065,0.6081080998904311,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
106,8041,1,4261,0.693333324088889,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
111,8387,1,4442,0.6666666574074076,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
116,8754,1,4631,0.7464788627256499,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
121,9124,0,4833,0.569230760473373,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
126,9616,0,5074,0.5977011425551593,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
131,9997,1,5279,0.6461538362130179,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
136,10400,1,5487,0.7222222121913582,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
141,10758,0,5663,0.7560975517549079,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
146,11123,0,5851,0.7199999904000002,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
151,11579,1,6096,0.5507246296996431,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
156,11943,0,6274,0.5277777704475309,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
161,12290,1,6450,0.5737704823972052,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
166,12665,0,6646,0.608695643352237,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
171,13006,0,6819,0.6562499897460939,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
176,13343,1,6983,0.5652173831127916,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
181,13720,1,7157,0.5499999931250001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
186,14054,0,7309,0.5652173831127916,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
191,14389,0,7474,0.6031745936004033,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
196,14744,1,7641,0.6923076816568049,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
201,15135,1,7830,0.6749999915625001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
206,15482,1,7997,0.608695643352237,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
211,15814,0,8159,0.5909090819559231,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
216,16206,1,8336,0.6172839429964946,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
221,16539,1,8493,0.6833333219444446,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
226,16939,0,8690,0.6142857055102042,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
231,17297,1,8866,0.7464788627256499,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
236,18096,1,9282,0.5844155768257717,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
241,18912,1,9733,0.5465116215521905,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
246,19471,1,10020,0.5645161199271593,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
251,19838,1,10186,0.6557376941682346,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
256,20190,0,10341,0.567901227556775,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
261,20570,0,10505,0.5974025896441222,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
266,20953,0,10659,0.5777777713580248,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
271,21302,0,10820,0.589041087821355,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
276,21642,1,10979,0.6060605968778697,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
281,21993,1,11132,0.5057471206235963,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
286,22337,0,11277,0.5542168607925679,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
291,22705,1,11448,0.6031745936004033,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
296,23079,0,11621,0.5593220244182708,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
301,23432,1,11782,0.5166666580555557,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
306,23788,1,11948,0.553846145325444,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
311,24138,1,12102,0.6249999902343751,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
316,24482,1,12269,0.5972222139274693,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
321,24821,0,12422,0.5249999934375001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
326,25204,1,12577,0.5819672083445311,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
331,25551,0,12722,0.41791044152372475,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
336,25873,1,12872,0.49230768473372793,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
341,26194,1,13010,0.5362318762864946,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
346,26547,1,13164,0.5967741839229971,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
351,26889,0,13319,0.4545454476584023,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
356,27251,0,13483,0.5303030222681361,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
361,27632,1,13638,0.4936708798269509,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
366,27988,0,13795,0.6666666574074076,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
371,28311,1,13923,0.5967741839229971,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
376,28674,0,14074,0.5428571351020409,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
381,29059,1,14253,0.4999999913793105,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
386,29374,1,14382,0.5789473582640815,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
391,29679,1,14510,0.5161290239334029,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
396,29981,0,14625,0.48529411051038074,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
401,30431,1,14841,0.5081967129803818,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
406,30787,1,14963,0.5999999920000001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
411,31127,1,15099,0.49999999305555565,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
416,31484,1,15247,0.5438596395814098,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
421,31838,1,15376,0.5697674352352624,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
426,32160,0,15494,0.4520547883280166,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
431,32493,1,15620,0.41269840614764436,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
436,32853,1,15762,0.384615378698225,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
441,33201,1,15893,0.49999999242424253,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
446,33566,0,16034,0.5121951157049376,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
451,34055,1,16205,0.4460431622586823,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
456,34442,1,16352,0.45348836681990273,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
461,34752,0,16460,0.43333332611111125,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
466,35095,0,16600,0.39344261650094076,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
471,35430,0,16723,0.4936708798269509,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
476,35805,0,16872,0.460526309729917,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
481,36133,1,16989,0.5205479380746858,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
486,36509,0,17145,0.5526315716759004,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
491,36880,1,17293,0.47619046863189735,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
496,37221,1,17421,0.553846145325444,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
501,37565,1,17559,0.42647058196366794,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
506,37891,0,17676,0.4084506984725254,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
511,38244,1,17797,0.4848484799510255,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
516,38567,1,17950,0.34482758026159344,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
521,38963,1,18114,0.5074626789930944,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
526,39316,1,18248,0.44067795863257697,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
531,39722,1,18409,0.47191010705718983,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
536,40167,1,18582,0.5499999908333335,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
541,40493,1,18706,0.46376810922075207,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
546,40835,0,18841,0.42105262419205924,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
551,41222,1,19001,0.43283581443528635,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
556,41721,1,19187,0.5176470527335642,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
561,42102,1,19310,0.47115384162352075,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
566,42444,1,19430,0.41379309869203335,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
571,42784,0,19556,0.43283581443528635,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
576,43122,0,19665,0.3793103382877528,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
581,43449,1,19790,0.5156249919433595,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
586,43804,1,19913,0.38356163858134745,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
591,44144,1,20032,0.49999999218750013,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
596,44478,1,20141,0.42105262603878124,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
601,44812,1,20249,0.47540982827197004,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
606,45128,1,20351,0.41269840614764436,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
611,45480,1,20489,0.46666665888888903,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
616,45837,1,20597,0.43617020812584884,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
