Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
1,63,0,0,0.6612903119146725,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
6,1675,0,765,0.6999999986000001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
11,3219,0,1487,0.65999999868,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
16,4453,0,1977,0.6359999987280001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
21,5668,0,2718,0.6315789390581719,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
26,6151,0,3002,0.7968749875488284,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
31,7398,0,3740,0.5742574200568572,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
36,8580,0,4470,0.6935483759105101,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
41,9499,0,4989,0.6629213408660524,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
46,10276,0,5169,0.581999998836,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
51,10733,0,5359,0.5555555519244735,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
56,11637,0,5900,0.5937499907226564,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
61,12073,1,6082,0.6666666618357489,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
66,12921,0,6304,0.567999998864,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
71,13699,0,6730,0.5238095175736962,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
76,14785,0,7086,0.583999998832,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
81,15116,0,7261,0.6545454426446283,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
86,15478,0,7440,0.5409835976887934,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
91,16278,0,7862,0.4999999950980393,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
96,16614,0,8019,0.6545454426446283,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
101,16944,0,8168,0.6229508094598228,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
106,17525,0,8480,0.6666666555555558,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
111,17924,1,8666,0.6499999918750001,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
116,18330,0,8864,0.5606060521120295,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
121,18809,0,9116,0.5645161199271593,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
126,19184,1,9279,0.6091953952966047,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
131,19509,0,9440,0.5283018768244929,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
136,20264,1,9830,0.5714285623582768,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
141,20688,0,10037,0.6166666563888891,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
146,21023,1,10199,0.703124989013672,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
151,21462,0,10382,0.5581395305570579,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
156,21844,0,10576,0.5901639247514111,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
161,22196,1,10739,0.5609756029149316,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
166,22535,1,10893,0.46666665888888903,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
171,22928,1,11058,0.38333332694444455,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
176,23257,1,11218,0.6071428463010207,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
181,23640,1,11392,0.62068964803805,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
186,24038,1,11584,0.5517241284185496,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
191,24361,1,11724,0.37313432278903996,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
196,24717,1,11866,0.5731707247174302,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
201,25084,1,12007,0.4878048740828872,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
206,25486,1,12193,0.4642857059948981,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
