Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
1,59,0,0,0.8793103296670634,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
6,1136,0,826,0.9007633519025698,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
11,2137,0,1642,0.9166666513888891,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
16,3261,0,2485,0.812499994357639,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
21,4991,0,3749,0.8199999945333334,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
26,6236,0,4642,0.8115941970174334,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
31,6943,1,5098,0.7943262355012324,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
36,8070,0,5613,0.737999998524,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
41,8941,0,6188,0.7796610103418559,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
46,10294,0,6809,0.771999998456,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
51,11560,0,7395,0.781999998436,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
56,12056,0,7622,0.7614213159318715,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
61,12967,0,7932,0.717999998564,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
66,13661,0,8303,0.7087912048967516,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
71,14208,0,8538,0.6682027618976831,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
76,14943,0,9035,0.8076922921597637,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
81,15421,0,9329,0.7941176353806231,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
86,15917,0,9620,0.6808510565866909,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
91,16753,0,10133,0.6964285652104593,0.01,50000,True,1.5e-05,0.001,0.001,0.001,True,20
