Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
1,208,0,0,0.71014492410558,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
6,701,1,240,0.6556291347309329,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
11,1047,1,429,0.7222222121913582,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
16,1376,1,619,0.7580645039021855,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
21,1762,1,812,0.7499999921875001,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
26,2105,0,994,0.6883116793725756,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
31,2495,0,1206,0.690476182256236,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
36,2878,1,1400,0.655555548271605,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
41,3230,0,1583,0.7702702598612128,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
46,3593,1,1788,0.7014925268433951,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
51,3957,1,1985,0.7352941068339102,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
56,4305,1,2165,0.5909090819559231,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
61,4687,1,2377,0.6874999892578127,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
66,5041,0,2573,0.6874999892578127,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
71,5399,1,2764,0.7246376706574251,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
76,5725,0,2931,0.6461538362130179,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
81,6072,1,3108,0.6666666570048311,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
86,6434,0,3298,0.6323529318771628,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
91,6781,0,3478,0.6249999921875001,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
96,7142,0,3669,0.6923076816568049,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
101,7507,1,3862,0.7343749885253908,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
106,7894,1,4064,0.6399999914666668,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
111,8243,1,4236,0.7297297198685173,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
116,8559,1,4386,0.6451612799167535,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
121,8912,0,4570,0.5666666572222224,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
126,9279,1,4764,0.6986301274160257,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
131,9622,1,4923,0.5465116215521905,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
136,9956,1,5086,0.6615384513609469,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
141,10284,1,5252,0.58730157797934,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
146,10628,1,5409,0.5853658465199287,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
