Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
1,73,0,0,0.5972222139274693,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
6,1961,0,935,0.677999998644,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
11,3304,0,1791,0.7704917906476756,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
16,4655,0,2340,0.677999998644,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
21,5154,0,2576,0.6979865724967345,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
26,6378,0,3309,0.5471698009967962,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
31,8353,0,4347,0.6608478786512522,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
36,9872,0,5203,0.5766871130264595,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
41,11513,1,6172,0.608695643352237,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
46,12394,0,6408,0.587999998824,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
51,13724,1,6892,0.581999998836,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
56,15664,1,7826,0.5806451598495157,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
61,17493,0,8745,0.5538461517159764,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
66,18858,0,9404,0.5669291316262632,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
71,19787,0,9874,0.7142857015306125,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
76,20636,0,10236,0.5735294089532872,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
81,22374,0,11174,0.4561403428747308,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
86,23210,1,11591,0.49122806155740245,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
91,23926,0,11940,0.4999999916666668,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
96,24331,0,12115,0.4874999939062501,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
101,24747,0,12268,0.5576923023298818,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
106,25821,1,12685,0.523333331588889,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
111,26526,0,13039,0.5737704823972052,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
116,27167,0,13323,0.5714285623582768,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
121,27861,0,13456,0.520971301278209,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
126,28293,0,13659,0.40350876485072346,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
131,28695,1,13833,0.5789473582640815,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
136,28997,0,13960,0.523809515495087,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
141,29403,1,14140,0.5468749914550782,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
146,29893,0,14272,0.52511415285336,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
151,30208,1,14397,0.46153845443786995,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
156,30922,0,14724,0.38983050186727963,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
161,31254,0,14848,0.5818181712396696,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
166,31636,1,14984,0.4661016909652399,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
171,32407,1,15333,0.5074626789930944,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
176,32843,1,15511,0.4687499926757814,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
181,33357,0,15691,0.5030302999816345,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
186,33770,0,15839,0.4776119331699712,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
191,34275,0,16068,0.43333332611111125,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
196,34640,1,16229,0.5322580559313217,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
201,35211,0,16475,0.3650793592844546,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
206,35584,1,16632,0.5357142761479594,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
211,35982,1,16792,0.5272727176859506,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
216,36417,0,16955,0.4329896862578383,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
221,36900,0,17154,0.5081967129803818,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
226,37454,0,17358,0.42528735143347873,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
231,37747,1,17492,0.5208333224826391,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
236,38148,1,17652,0.5161290239334029,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
241,38417,1,17760,0.4642857059948981,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
246,38696,1,17868,0.3653846083579883,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
251,38987,1,17980,0.41935483194588985,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
256,39478,1,18179,0.34615383949704154,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
261,39769,0,18284,0.5593220244182708,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
266,40044,0,18393,0.5666666572222224,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
271,40333,1,18491,0.3859649055093876,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
276,40624,1,18583,0.35087718682671604,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
281,41007,1,18734,0.4727272641322316,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
286,41297,1,18840,0.5087719208987382,0.01,500,True,1e-05,0.001,0.001,0.001,False,20
