Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,73,0,0,0.8472222104552471,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,1924,1,1189,0.887999998224,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,4165,0,2916,0.834024892804876,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,5467,0,3917,0.7971014377231675,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,7548,0,5191,0.807999998384,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,8833,0,6003,0.7876447846036881,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,10605,0,7316,0.7755101882548942,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,11519,0,7965,0.7076922968047339,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,12274,0,8478,0.7580645039021855,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,13190,1,9084,0.7796610037345593,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,13978,1,9597,0.7666666538888891,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,14774,0,10112,0.727272714049587,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,15216,1,10355,0.7203389769462799,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,15594,1,10574,0.7903225678980231,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,16394,1,11048,0.6605504526555005,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,16699,1,11229,0.57142856122449,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,17005,1,11404,0.7499999866071432,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,17305,1,11563,0.6718749895019533,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,17655,1,11724,0.6923076863905326,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,18001,0,11908,0.7538461422485209,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,18333,0,12083,0.5999999914285715,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,18668,1,12273,0.7457626992243611,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,18963,1,12423,0.6984126873267827,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,19347,1,12635,0.6122448854643902,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,19616,1,12789,0.5882352825836219,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,19906,1,12922,0.6764705782871974,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,20203,1,13093,0.6607142739158166,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,20512,1,13259,0.7187499887695314,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,20791,0,13387,0.6949152424590637,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,21072,1,13533,0.6428571313775513,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,21364,1,13689,0.6315789362880888,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,21642,1,13831,0.6499999891666669,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,21940,1,13974,0.7321428440688779,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,22230,1,14128,0.49122806155740245,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,22528,1,14282,0.7222222088477369,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,22813,1,14430,0.5849056493414029,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,23100,1,14573,0.5396825311161503,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,23387,1,14717,0.633333322777778,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,23669,1,14862,0.6363636247933887,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,23954,1,15007,0.6610169379488655,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,24246,1,15134,0.6499999891666669,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,24532,1,15264,0.56363635338843,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,24818,1,15404,0.5818181712396696,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,25094,1,15546,0.6909090783471077,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,25392,1,15667,0.7142857015306125,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
226,25675,1,15787,0.58730157797934,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
231,25962,1,15924,0.6603773460306162,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
236,26248,1,16061,0.5689655074316292,0.1,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
