Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,127,0,0,0.9365079290753339,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,1349,0,613,0.827999998344,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,2989,0,1579,0.847999998304,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,4193,0,2157,0.835999998328,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,4556,1,2405,0.8970588103373704,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,5344,0,2979,0.8253968122952887,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,6107,0,3554,0.8307692179881659,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,7738,1,4486,0.743999998512,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,8498,0,5055,0.8548386958896985,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,8845,1,5276,0.799999987692308,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,9620,1,5490,0.765999998468,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,10395,0,6040,0.7272727162534437,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,11619,1,6925,0.7407407315957935,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,12835,1,7445,0.717999998564,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,14048,0,7958,0.641999998716,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,14408,1,8164,0.7260273873146933,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,15207,0,8628,0.6999999900000001,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,16016,0,9153,0.7164178997549567,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,17222,0,9618,0.651999998696,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,19294,0,10628,0.623999998752,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
