Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,195,0,0,0.8659793769794878,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,628,1,320,0.8688524447729108,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,950,1,558,0.9523809372637947,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,1283,0,793,0.8749999863281253,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,1630,1,1038,0.9218749855957034,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,1974,0,1283,0.8550724513757616,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,2312,1,1514,0.8289473575138506,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,2699,1,1786,0.8333333226495728,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,3071,0,2041,0.8571428435374152,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,3415,1,2270,0.8749999878472224,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,3748,1,2506,0.906249985839844,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,4136,1,2741,0.8282828199163351,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,4507,1,2993,0.830985903788931,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,4873,1,3245,0.8281249870605472,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,5218,1,3474,0.828571416734694,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,5573,1,3722,0.8615384482840239,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,5901,1,3942,0.8281249870605472,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,6275,1,4206,0.7627118514794602,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,6618,1,4450,0.8448275716409039,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,7006,1,4713,0.8656716288705727,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,7332,0,4917,0.7468354335843617,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
