Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.87999999824,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,1076,0,463,0.8775510024989592,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,1323,0,636,0.9166666475694449,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,1584,0,829,0.9411764521337951,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,1843,0,1015,0.7924528152367394,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,2097,0,1166,0.88888887654321,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,2373,0,1357,0.7719298110187752,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,2631,1,1544,0.8536585157644265,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,2889,1,1714,0.8490565877536493,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,3117,0,1871,0.8139534694429427,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,3393,1,2065,0.8799999824000004,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,3645,1,2241,0.8958333146701394,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,3913,1,2431,0.8958333146701394,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,4169,1,2599,0.8235293956170707,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,4436,1,2784,0.8571428396501461,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,4711,1,2975,0.8510638116794934,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,4931,1,3124,0.8536585157644265,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,5155,0,3273,0.7999999822222227,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,5418,1,3456,0.8095237902494337,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,5679,1,3635,0.863636344008265,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,5949,1,3812,0.781818167603306,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,6223,1,3976,0.8732394243205716,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,6457,0,4129,0.9130434584120988,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,6715,0,4292,0.8196721177102931,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,6942,1,4434,0.888888869135803,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,7186,1,4593,0.8113207394090427,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,7415,0,4750,0.8571428367346944,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,7669,1,4916,0.8333333159722226,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,7941,1,5089,0.8181818033057854,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,8161,1,5226,0.7619047437641728,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,8411,1,5369,0.841269827916352,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,8822,1,5645,0.8333333179012349,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,9098,1,5814,0.6999999883333335,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,9387,0,6000,0.8799999824000004,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,9648,0,6157,0.7173912887523634,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
