Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,97,0,0,0.864583324327257,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,734,0,437,0.9012345567748821,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,1169,0,724,0.9264705746107269,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,1567,0,981,0.8955223746936959,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,2245,0,1301,0.7749999967708333,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,2720,0,1599,0.8599999914,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,3324,0,2016,0.8222222130864199,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,3865,0,2393,0.8684210412049863,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,4414,0,2769,0.8522727175878101,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,4858,0,3056,0.8734177104630669,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,5316,1,3334,0.82142856164966,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,6071,0,3800,0.6737588604697953,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,6607,0,4151,0.7977528000252495,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,7836,1,5004,0.798449606213569,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,8335,0,5308,0.7083333259548612,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,8829,1,5597,0.836734685339442,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,9289,0,5862,0.6020408101832571,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,9759,0,6125,0.688679238786045,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,10221,1,6387,0.742857135782313,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,10665,1,6641,0.6938775439400251,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,11140,1,6896,0.7878787799204164,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,11550,1,7138,0.5853658465199287,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,11936,1,7355,0.7142857050092766,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,12316,1,7563,0.5853658465199287,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,12699,1,7758,0.6710526227493077,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,13118,1,7989,0.6025640948389219,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,13504,1,8191,0.5584415511890708,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,13931,1,8413,0.7469879428073742,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,14400,1,8639,0.5054944999396209,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,14842,1,8836,0.6542056013625644,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,15316,1,9069,0.6222222153086421,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,15767,1,9292,0.7530864104557233,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,16217,1,9518,0.6413043408553876,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,16657,1,9725,0.5454545392561985,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,17122,1,9946,0.6923076846999155,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,17548,1,10140,0.590909084194215,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,17997,1,10337,0.6279069694429422,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,18459,1,10554,0.4634146284949436,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,18915,1,10750,0.6185566946540547,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,19374,1,10945,0.5567010251886493,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,19798,1,11128,0.588235287197232,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,20240,1,11323,0.5319148879583523,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,20674,1,11520,0.5168539267769222,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,21118,1,11708,0.4337349345333141,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,21551,1,11875,0.40449437747759126,0.1,30000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
