Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,91,0,0,0.7888888801234569,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,1058,0,712,0.8169934587124611,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,1680,0,1199,0.8904109467066994,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,2695,0,1652,0.86999999826,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,3649,1,2401,0.8857142730612247,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,4301,0,2831,0.8091602991667153,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,5281,0,3276,0.724537035359868,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,6231,0,3914,0.7894736759002772,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,6711,0,4210,0.7499999910714287,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,7240,0,4527,0.7799999922,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,7707,0,4801,0.759259252229081,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,8179,0,5087,0.8227847997115848,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,8631,1,5381,0.7176470503806229,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,9095,0,5672,0.8105263072576179,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,9613,0,5991,0.7641509361872554,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,10076,1,6253,0.7444444361728396,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
