Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.87999999824,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,1092,1,464,0.8281249870605472,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,1431,1,688,0.9204545349948349,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,1742,1,923,0.8444444256790128,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,2025,1,1130,0.812499983072917,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,2334,1,1332,0.891891879839299,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,2637,1,1524,0.8799999882666668,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,3015,1,1735,0.8749999931640625,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,3283,1,1923,0.8780487590719815,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,3537,1,2091,0.9122806857494616,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,3886,1,2344,0.9464285545280615,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,4136,1,2509,0.886792436098256,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,4418,1,2693,0.8888888747795417,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,4681,1,2880,0.7708333172743059,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,4981,1,3083,0.8799999824000004,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,5329,1,3307,0.8374999895312502,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,5646,1,3533,0.7499999866071432,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,5954,1,3743,0.8275861926278243,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,6186,1,3915,0.7187499775390632,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,6455,1,4099,0.7837837626004389,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,6735,0,4290,0.7441860292049761,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,7011,1,4494,0.7647058598615925,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,7214,1,4631,0.937499970703126,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,7447,0,4782,0.7894736634349037,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,7746,0,5006,0.868421029778394,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,8007,1,5178,0.8148147997256519,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,8253,1,5349,0.6470588044982705,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,8542,1,5546,0.8974358744247213,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,8831,1,5721,0.7499999882812503,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,9033,0,5856,0.7777777561728402,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,9329,1,6049,0.7352940960207619,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,9489,0,6141,0.8918918677867064,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,9693,1,6278,0.7878787640036738,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,9934,1,6409,0.779220769101029,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,10139,1,6535,0.8285714048979599,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
