Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.897999998204,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,2807,0,1566,0.851999998296,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,5307,1,3259,0.847999998304,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,7088,0,4306,0.81999999836,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,8374,0,4954,0.793999998412,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,10201,0,6015,0.7999999984,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,12111,0,7055,0.76999999846,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,13045,0,7650,0.7452830118369528,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,13916,0,8228,0.7831325206851504,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,16009,0,9383,0.715999998568,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,17298,0,10199,0.7034482710107016,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,18588,0,10736,0.651999998696,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,20309,1,11563,0.691999998616,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,21598,1,12340,0.6960784245482508,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,23298,1,13370,0.6629213408660524,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,25404,0,14392,0.601999998796,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,27561,1,15582,0.585987257414094,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,29646,0,16493,0.587999998824,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,31354,0,17194,0.527999998944,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,32278,1,17634,0.5078124960327148,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,34011,1,18311,0.553999998892,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,35735,1,18956,0.5399999989200001,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,36685,0,19394,0.5925925871056242,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,37951,1,19776,0.531999998936,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,40070,0,20765,0.5126050377092014,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,41782,0,21365,0.461999999076,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,43491,1,22125,0.4727272684297521,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,45163,1,22854,0.48101265213908034,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,46842,1,23536,0.5595238028628119,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,48640,1,24290,0.43010752225690835,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,50145,1,24896,0.3783783732651571,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,51205,0,25315,0.5194805127340193,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,52788,0,25799,0.4540816314946897,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,54733,1,26500,0.4160583911236614,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,56003,1,26940,0.3879310311385256,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,57078,0,27316,0.39999999466666675,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,58737,0,27736,0.36999999926,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,60004,0,28193,0.3716814126399875,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,61676,0,28763,0.39506172351775654,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,62956,0,29183,0.32051281640368184,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,64228,0,29569,0.2718446575549062,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,65453,0,29964,0.3571428520408164,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,67186,1,30500,0.2589928038921381,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,68854,1,30874,0.323999999352,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,70952,0,31380,0.311999999376,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,72659,1,31761,0.315999999368,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,73156,0,31889,0.2857142825745683,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
