Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.8999999982,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,2178,0,1035,0.867999998264,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,3928,0,2357,0.8245613986867755,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,6090,1,4059,0.8641975255296449,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,7419,0,5047,0.8837209199567335,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,9106,0,5981,0.821999998356,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,10933,0,7334,0.728070169052016,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,13169,0,8624,0.727999998544,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,15407,0,9857,0.703999998592,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,17181,0,11053,0.6704545378357439,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,19280,0,12113,0.685999998628,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,21046,0,12956,0.657999998684,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,23208,1,14018,0.637999998724,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,24177,0,14309,0.587999998824,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,25919,0,15069,0.613999998772,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,28052,1,16053,0.593999998812,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,29747,0,16737,0.521999998956,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,30884,0,17293,0.604651159275284,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,32653,0,18007,0.601999998796,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,34028,1,18645,0.5297619016085601,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,35453,0,19319,0.5736434064058651,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,36505,1,19825,0.5315315267429592,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,39005,1,20863,0.523999998952,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,41505,1,21849,0.487999999024,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,42104,0,22093,0.43956043473010514,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,43813,1,22838,0.40909090537190085,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,45328,1,23402,0.4493243228063368,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,46480,1,23789,0.4705882338371881,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,47520,1,24158,0.44954128234155377,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,49733,0,24887,0.397999999204,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,51445,1,25382,0.421999999156,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,53549,1,26202,0.36538461187130183,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,56028,1,27003,0.353999999292,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,57313,0,27486,0.3943661916286452,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,59248,1,28222,0.4390243866745985,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,60555,0,28669,0.3783783749695642,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,62030,0,29147,0.299999998125,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,64530,0,29887,0.321999999356,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,66648,0,30452,0.361999999276,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,69148,1,31072,0.325999999348,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,70441,0,31322,0.315999999368,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,71891,0,31726,0.29292928997041123,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,73153,1,31953,0.32999999934,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,75001,0,32423,0.26568265584618944,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
