Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,501,0,0,0.897999998204,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,2698,1,1775,0.8375634475250586,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,4028,0,2838,0.7999999905882355,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,5332,0,3509,0.823999998352,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,6503,0,4099,0.8071748860825675,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,7902,0,4816,0.793999998412,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,10020,0,6088,0.78999999842,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,11483,1,6827,0.75999999848,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,12816,0,7742,0.6813186738316629,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,14178,0,8628,0.6864406721488079,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,16016,1,9588,0.735999998528,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,17358,0,10436,0.6494845293867575,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,19550,1,11599,0.693999998612,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,21670,0,12657,0.6499999987,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,22746,1,13262,0.6808510590010564,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,24049,1,13757,0.611999998776,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,25739,0,14505,0.623999998752,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,27611,1,15587,0.5918367286547273,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,28500,0,16074,0.6413043408553876,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,29358,1,16544,0.5581395283937264,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,30679,0,17205,0.5539568305470731,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,31520,1,17407,0.545999998908,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,33217,1,18049,0.521999998956,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,34493,1,18481,0.531999998936,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,36595,1,19321,0.553999998892,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,37957,1,19977,0.5123966899801926,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,39278,1,20587,0.5360824687001807,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,40241,0,21010,0.5438596443521084,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,42019,0,21822,0.4666666627777778,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,43744,0,22397,0.48399999903200003,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,46244,0,23340,0.435999999128,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,46822,1,23558,0.4803921521530181,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,48077,1,23881,0.411999999176,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,49727,0,24407,0.43799472179948623,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,51045,1,24896,0.3966942115975685,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,52302,1,25375,0.35802468693796685,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,53683,0,25732,0.393999999212,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,54726,1,25958,0.395999999208,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,56097,0,26306,0.37999999924,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,58597,0,27030,0.381999999236,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,60285,0,27462,0.33999999932,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,62785,0,28155,0.31799999936400003,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,65285,0,28865,0.27999999944,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,66961,0,29403,0.3608247385481986,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,69461,0,30056,0.321999999356,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,70769,0,30297,0.27999999944,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,72463,1,30805,0.310344824019025,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
236,73751,0,31023,0.273999999452,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
241,75872,1,31529,0.293999999412,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
246,76963,0,31777,0.27017543764850727,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
251,78688,1,32113,0.295999999408,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
256,80775,0,32558,0.271999999456,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
261,83275,0,33095,0.257999999484,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
266,85370,0,33489,0.247999999504,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
271,86847,1,33731,0.231999999536,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
276,88146,1,33917,0.223999999552,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
281,88619,0,34015,0.20224718873879563,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
286,90785,0,34405,0.207999999584,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
291,92884,0,34828,0.20202019997959395,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
296,94894,1,35234,0.2643678130532435,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
301,97394,0,35677,0.167999999664,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
306,99070,0,35966,0.23749999703125005,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
