Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,360,0,0,0.8774373234611774,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,788,1,301,0.9555555449382718,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,1253,1,636,0.8928571322278913,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,1713,1,951,0.9101123493245804,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,2280,0,1387,0.9024390133848901,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,2721,0,1690,0.9029126125930814,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,3301,1,2108,0.8350515377829738,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,3876,1,2500,0.8617886108797674,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,4426,0,2870,0.8362068893430441,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,4897,1,3206,0.8433734838147773,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,5374,1,3549,0.8219177969600302,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,5869,0,3878,0.8073394421345006,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,6370,1,4211,0.8351648259871998,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,6884,1,4545,0.8224298988557953,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,7411,0,4877,0.834862377661813,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,7888,1,5166,0.8265306038109123,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,8383,1,5477,0.8288288213619025,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,8871,1,5759,0.7313432781243039,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,9316,0,6042,0.7311827878367443,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,9740,1,6306,0.771084328059225,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,10182,0,6566,0.7765957364191943,0.1,30000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
