Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,124,0,0,0.8943089358186266,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,457,1,236,0.8749999863281253,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,797,1,485,0.9365079216427314,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,1102,0,708,0.9333333177777781,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,1430,1,943,0.841269827916352,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,1767,1,1184,0.8507462559590111,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,2121,1,1442,0.8524590024187049,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,2477,1,1700,0.7999999866666669,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,2817,1,1944,0.9206349060216682,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,3176,1,2193,0.8428571308163267,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,3542,1,2447,0.8399999888000002,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,3883,1,2673,0.8749999878472224,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,4240,1,2890,0.8080807999183758,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,4650,1,3180,0.8382352817906576,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,5014,1,3419,0.8873239311644517,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,5379,0,3663,0.7894736738227148,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,5724,1,3887,0.7826086843100191,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,6058,1,4106,0.8923076785798819,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,6403,1,4336,0.7972972865230097,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,6830,0,4623,0.7868852330018815,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,7167,1,4840,0.8552631466412745,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,7516,1,5074,0.8333333207070709,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,7871,1,5300,0.8219177969600302,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,8207,1,5508,0.8243243131848066,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,8615,1,5766,0.7272727162534437,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,8970,1,5992,0.7540983482934698,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,9288,1,6183,0.8253968122952887,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,9667,1,6418,0.693333324088889,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,10002,1,6619,0.7058823446366783,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,10357,1,6842,0.7794117532439448,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,10696,0,7055,0.8095237966742255,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,11068,1,7275,0.7590361354332996,0.1,3000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
