Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
1,501,1,0,0.717999998564,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
6,1294,1,261,0.731999998536,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
11,2069,1,832,0.8055555443672842,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
16,3701,0,1706,0.765999998468,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
21,5770,0,2815,0.565999998868,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
26,7419,1,3569,0.693999998612,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
31,8640,0,4300,0.8088235175173012,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
36,9430,1,4763,0.8985507116152072,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
41,10248,0,5208,0.8235293996539794,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
46,11441,0,5646,0.5719999988560001,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
51,12263,0,5890,0.501999998996,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
56,13467,0,6538,0.7285714181632654,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
61,15536,1,7416,0.481999999036,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
66,16351,1,7838,0.6986301274160257,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
71,17978,1,8487,0.6039999987920001,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
76,19636,1,9182,0.545999998908,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
81,20841,0,9617,0.573999998852,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
86,21612,0,9985,0.6363636267217633,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
91,22805,0,10650,0.703124989013672,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
96,24878,1,11490,0.541999998916,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
101,26506,1,12144,0.584615375621302,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
106,28574,1,12724,0.367999999264,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
111,30640,1,13252,0.2999999994,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
116,31830,0,13712,0.6406249899902345,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
121,33481,1,14232,0.401999999196,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
126,34275,1,14558,0.44285713653061237,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
131,35470,0,14998,0.6451612799167535,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
136,35793,1,15130,0.5483870879292405,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
141,37855,1,15638,0.327999999344,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
146,38634,0,15903,0.5303030222681361,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
151,38991,1,16055,0.4062499936523439,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
156,39763,1,16319,0.5999999900000001,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
161,40113,1,16432,0.5581395283937264,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
166,40859,1,16550,0.297999999404,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
171,41624,0,16676,0.381999999236,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
176,42410,1,16809,0.351999999296,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
181,43615,1,17172,0.5645161199271593,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
186,43942,1,17294,0.4603174530108341,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
191,44275,1,17433,0.3709677359521333,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
196,45480,1,17690,0.2999999994,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
201,45794,1,17803,0.5806451519250783,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
206,46117,1,17914,0.5245901553345876,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
211,46863,1,18141,0.45901638591776417,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
216,47639,0,18266,0.305999999388,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
221,47985,1,18396,0.4920634842529606,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
226,48331,1,18507,0.38888888456790127,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
231,48667,1,18626,0.46376810922075207,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
236,49438,1,18835,0.3918918865960556,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
241,49796,0,18950,0.37804877587745395,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
246,50556,0,19163,0.47222221566358036,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
251,50879,0,19267,0.4868420988573408,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
256,51652,1,19484,0.46969696258034904,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
261,52424,1,19688,0.38095237490551787,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
266,53608,1,19962,0.3666666605555557,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
271,53922,1,20075,0.38095237490551787,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
276,54681,1,20257,0.38333332694444455,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
281,55471,1,20441,0.4225352053164056,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
286,56226,1,20612,0.384615378698225,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
291,57858,1,20840,0.26086956143667306,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
296,58636,1,20991,0.4062499936523439,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
301,59404,1,21092,0.161999999676,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
306,59727,1,21182,0.31249999511718757,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
311,60495,0,21317,0.41666665972222233,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
316,61258,1,21446,0.3424657487333459,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
321,62042,1,21587,0.4603174530108341,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
326,62396,0,21675,0.36619717794088485,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
331,62762,1,21780,0.34426228943832315,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
336,63953,1,21897,0.091999999816,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
341,64309,1,21990,0.39130434215500953,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
346,64633,0,22095,0.3235294070069205,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
351,65830,1,22212,0.105999999788,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
356,66188,1,22304,0.38709676795005216,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
361,66520,0,22382,0.27419354396462026,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
366,67706,1,22521,0.3114754047299114,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
371,68471,1,22630,0.27272726859504137,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
376,69242,1,22761,0.2602739690373429,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
381,70873,1,22930,0.3134328311427936,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
386,71745,1,23025,0.38888888456790127,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
391,72093,1,23111,0.31818181336088164,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
396,72417,1,23188,0.2999999950000001,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
401,72782,1,23267,0.27536231484982154,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
406,73141,1,23348,0.2794117605968859,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
411,74335,1,23494,0.24637680802352452,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
416,74666,1,23572,0.3114754047299114,1.0,15000,True,1.5e-05,0.001,0.001,0.001,False,20,0.9
