Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size,Alpha
0,0,0,0,0.9,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
1,69,0,0,0.8823529282006922,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
6,1544,0,1244,0.8749999890625002,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
11,3299,1,2340,0.831999998336,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
16,4022,1,2896,0.8088235175173012,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
21,4545,1,3271,0.8108107998539081,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
26,4890,1,3508,0.7611940184896415,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
31,5510,0,3928,0.7473684131855957,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
36,6037,0,4294,0.8552631466412745,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
41,6627,0,4711,0.8088235175173012,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
46,6967,1,4936,0.76923075739645,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
51,7582,0,5353,0.7999999911111112,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
56,8057,0,5682,0.806451599895942,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
61,8435,1,5926,0.744186037858302,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
66,8935,0,6238,0.7628865900733341,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
71,9266,1,6441,0.7727272610192839,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
76,10034,0,6950,0.8135593151393279,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
81,10468,1,7200,0.7264150874866502,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
86,10801,0,7401,0.7121212013314969,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
91,11328,0,7755,0.7741935359001043,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
96,11781,0,8017,0.7256637103923566,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
101,12397,1,8426,0.7462686455780799,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
106,12726,0,8614,0.8088235175173012,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
111,13529,1,9152,0.7611940184896415,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
116,13868,0,9354,0.7164178997549567,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
121,14254,1,9570,0.6986301274160257,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
126,14658,1,9814,0.6551724024970276,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
131,15115,0,10063,0.6666666613756614,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
136,15460,1,10252,0.7352941068339102,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
141,15842,1,10475,0.7638888782793212,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
146,16604,1,10710,0.7155963286339534,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
151,17520,0,11272,0.6962025228328795,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
156,17943,1,11514,0.6527777687114199,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
161,18283,0,11690,0.6984126873267827,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
166,18669,1,11905,0.6756756665449235,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
171,19147,0,12186,0.777777765432099,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
176,19501,1,12387,0.7230769119526629,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
181,20065,0,12568,0.6406779639299052,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
186,20489,1,12792,0.6666666601307191,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
191,20976,1,13054,0.6857142791836736,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
196,21353,1,13250,0.6538461454635109,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
201,21819,1,13458,0.6803278632760011,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
206,22176,1,13637,0.4821428485331634,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
211,22582,1,13841,0.6849314974666918,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
216,22912,1,14009,0.5757575670339763,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
221,23257,1,14186,0.6969696864095503,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
226,23574,1,14344,0.6065573671056169,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
231,24163,1,14679,0.6666666565656567,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
236,24819,1,15008,0.5257731904559465,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
241,25856,1,15597,0.5999999920000001,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
246,27019,0,16229,0.6293103394024971,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
251,27944,0,16572,0.522222220771605,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
256,28537,0,16865,0.6057692249445267,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
261,28922,1,17048,0.43478260239445504,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
266,29338,1,17234,0.6428571336734695,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
271,29807,1,17399,0.48484848191000923,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
276,30159,1,17575,0.5161290239334029,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
281,30503,1,17736,0.6142857055102042,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
286,30862,1,17905,0.57352940333045,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
291,31474,0,18128,0.526970952170245,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
296,32492,0,18482,0.5456919045804389,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
301,33217,1,18828,0.5423728721631716,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
306,33733,1,19071,0.584615375621302,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
311,34203,1,19287,0.46969696258034904,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
316,34554,1,19446,0.5714285623582768,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
321,34930,1,19619,0.399999993846154,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
326,35343,1,19788,0.6086956468809074,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
331,35734,1,19930,0.5826086905860114,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
336,36128,1,20092,0.46478872584804615,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
341,36744,1,20341,0.4957983151613587,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
346,37065,1,20470,0.4843749924316408,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
351,37388,1,20612,0.6379310234839479,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
356,37709,1,20752,0.6129032159209159,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
361,38158,1,20937,0.6307692210650889,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
366,38499,1,21070,0.4218749934082032,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
371,38812,1,21195,0.43749999316406263,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
376,39211,1,21358,0.4659090856146695,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
381,39661,1,21515,0.4749999960416667,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
386,39979,1,21651,0.5737704823972052,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
391,40459,1,21804,0.5333333303703703,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
396,40974,1,22007,0.453333327288889,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
401,41308,1,22127,0.47619046863189735,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
406,41742,0,22306,0.5660377251690996,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
411,42184,1,22488,0.46268656025840954,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
416,42503,0,22612,0.4925373060815328,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
421,42835,1,22722,0.457142850612245,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
426,43162,1,22850,0.49999999285714297,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
431,43521,1,22959,0.4799999952000001,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
436,44014,1,23159,0.5901639247514111,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
441,44399,1,23311,0.5176470527335642,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
446,44971,1,23439,0.4189189175036523,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
451,45292,1,23542,0.4399999941333334,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
456,45610,1,23648,0.42028984898130656,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
461,45931,1,23769,0.44444443738977085,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
466,46236,1,23868,0.4915254153978743,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
471,46531,1,23986,0.44642856345663284,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
476,47198,1,24126,0.44350282360592425,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
481,47512,1,24242,0.45901638591776417,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
486,47833,1,24358,0.4918032706261759,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
491,48148,1,24453,0.5066666599111113,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
496,48463,1,24559,0.3499999941666668,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
501,48765,1,24678,0.42105262419205924,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
506,49140,1,24821,0.3709677359521333,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
511,49455,1,24918,0.5312499916992189,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
516,49762,1,25007,0.34482758026159344,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
521,50076,1,25124,0.32203389284688316,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
526,50378,1,25227,0.40983605885514657,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
531,50681,1,25328,0.5862068864447089,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
536,50978,1,25424,0.3709677359521333,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
541,51284,1,25525,0.40677965412237876,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
546,51562,1,25601,0.2727272677685951,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
551,51865,1,25691,0.453124992919922,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
556,52158,1,25781,0.41379309631391215,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
561,52458,1,25890,0.3278688470841173,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
566,52768,1,25983,0.38805969570060156,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
571,53070,1,26081,0.26984126555807514,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
576,53815,0,26199,0.375999999248,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
581,54851,1,26572,0.436241607810459,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
586,55162,1,26667,0.47142856469387767,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
591,55531,1,26787,0.38805969570060156,1.0,15000,True,1.5e-05,0.001,0.001,0.001,True,20,0.9
