Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.9,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
1,87,0,0,0.7790697583829098,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
6,603,1,326,0.6626505944258965,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
11,994,1,513,0.7380952293083901,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
16,1393,1,700,0.6022727204287192,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
21,1836,1,941,0.7692307593688364,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
26,2181,1,1131,0.7058823425605538,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
31,2577,1,1342,0.6999999900000001,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
36,2945,0,1519,0.43283581443528635,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
41,3304,0,1694,0.5124999935937501,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
46,3810,1,1982,0.7384615271005919,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
51,4181,1,2188,0.6428571336734695,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
56,4544,1,2401,0.6567164081087103,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
61,4866,1,2573,0.777777765432099,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
66,5238,1,2744,0.6527777687114199,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
71,5623,1,2941,0.6027397177706888,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
76,5975,1,3106,0.6176470497404846,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
81,6324,1,3258,0.5571428491836736,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
86,6687,1,3384,0.5789473608033242,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
91,7040,1,3508,0.46969696258034904,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
96,7448,1,3646,0.5118110195920392,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
101,7841,1,3797,0.6172839429964946,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
106,8202,1,3937,0.46969696258034904,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
111,8692,1,4108,0.4402985041768768,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
116,9014,1,4247,0.38709676795005216,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
121,9410,1,4408,0.46268656025840954,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
126,9792,1,4535,0.4799999936000001,1.0,500000,True,1e-07,0.001,0.001,0.001,False,20
