,0,1,2,3,4,5,6,7,8,9,10,11,12
Accumulated time steps,0.0,525.0,1524.0,2523.0,3522.0,4521.0,5520.0,6519.0,7518.0,8517.0,9516.0,10515.0,11514.0
Episode reward,0.0,77.51418582155907,-44.72142981645404,-30.61455406963325,-30.364231809816843,-21.877390380795006,-20.930073065256313,-18.304723410619978,-19.87357750345247,-19.035559741043222,-17.988521664257817,-18.75738283656399,-18.858903629766534
Episode feedback,0.8,0.5506692150082807,0.2945891780615339,0.2855711419984257,0.1743486972200915,0.11422845679937028,0.07715430853992554,0.04909819634358898,0.04609218432255292,0.012024048084144241,0.012024048084144241,0.01102204407713222,0.00801603205609616
total seconds,0.0,35.334264516830444,93.38122916221619,153.2136311531067,205.74477100372314,255.76202964782715,304.1187243461609,351.80303835868835,400.5531733036041,447.9116005897522,495.6224777698517,542.615846157074,589.3765232563019
total minutes,0.0,0.5889044086138407,1.5563538193702697,2.5535605192184447,3.429079516728719,4.262700494130453,5.068645405769348,5.863383972644806,6.675886221726736,7.465193343162537,8.260374629497528,9.043597435951233,9.822942054271698
cummulative feedback,0.0,288.0,582.0,867.0,1041.0,1155.0,1232.0,1281.0,1327.0,1339.0,1351.0,1362.0,1370.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,523.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0,998.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
