,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Accumulated time steps,0.0,1000.0,1248.0,2247.0,2591.0,3399.0,3562.0,4352.0,4685.0,4836.0,5180.0,5604.0,6231.0,6502.0,6896.0,7226.0,7817.0,8321.0,9320.0,9834.0,10507.0,11506.0
Episode reward,0.0,-51.654836071292515,89.23101931281303,-48.968695988892456,83.12905629143609,64.53383284658545,91.43573929171576,66.11272124291017,85.69329375174978,91.72764265344868,86.12219736203079,84.14764052076177,76.62758584803855,87.15084332403453,83.86722185354603,88.66282842281832,81.6654548797171,81.05146277474131,-34.88653328194479,82.17175704800282,76.39942607631447,-31.503971518637535
Episode feedback,0.8,0.2705410818932454,0.36437246816043534,0.18336673328319966,0.11078717168866714,0.12019826503073325,0.06172839468068892,0.12294043076940377,0.0722891564087676,0.07999999946666667,0.04081632641161421,0.049645389953556995,0.049520766694056285,0.04814814796982168,0.03053435106734262,0.03343465035430197,0.022033898267739157,0.023856858799489348,0.00801603205609616,0.01754385961492425,0.005952380943523242,0.0060120240420721205
total seconds,0.0,56.799254179000854,72.82242918014526,129.82660126686096,148.45076394081116,191.09473752975464,200.13738107681274,241.9547038078308,259.60369968414307,268.12744903564453,285.87096881866455,307.6679470539093,339.32363080978394,353.5575797557831,373.59009194374084,390.48592042922974,419.75016355514526,445.0235126018524,493.4280149936676,518.9582290649414,551.8000130653381,600.0892057418823
total minutes,0.0,0.9466542363166809,1.213707153002421,2.163776687781016,2.4741793990135195,3.1849122921625774,3.335623017946879,4.03257839679718,4.326728328069051,4.468790817260742,4.764516146977742,5.127799117565155,5.655393846829733,5.892626329263051,6.226501532395681,6.508098673820496,6.995836059252421,7.417058543364207,8.22380024989446,8.649303817749024,9.196666884422303,10.001486762364705
cummulative feedback,0.0,270.0,360.0,543.0,581.0,678.0,688.0,785.0,809.0,821.0,835.0,856.0,887.0,900.0,912.0,923.0,936.0,948.0,956.0,965.0,969.0,975.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,247.0,998.0,343.0,807.0,162.0,789.0,332.0,150.0,343.0,423.0,626.0,270.0,393.0,329.0,590.0,503.0,998.0,513.0,672.0,998.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
