,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Accumulated time steps,0.0,1000.0,1999.0,2600.0,3432.0,4431.0,5430.0,6035.0,6613.0,7288.0,7524.0,7942.0,8776.0,9322.0,10096.0,10737.0,11530.0
Episode reward,0.0,-65.80302240429754,-65.95142513135994,71.07014523241403,68.89981004327278,-40.13894680810223,-37.72730749682064,72.75976468409038,75.08727683094475,77.4660235222691,90.4492062768308,85.6818883843342,73.42100512972316,78.35239512791023,75.06542749491825,79.34325478549485,76.17830643070774
Episode feedback,0.8,0.0060120240420721205,0.00400801602804808,0.19666666633888888,0.15764139571884309,0.09418837665912988,0.07414829651888949,0.04801324495362046,0.055459272000937136,0.04451038569063741,0.025531914784970574,0.021582733761192484,0.010804321715721103,0.01834862381954381,0.009055627413899576,0.006249999990234375,0.0012626262610320375
total seconds,0.0,45.28987431526184,91.18405556678772,124.59915256500244,169.640855550766,221.30180048942566,272.0744574069977,302.6743919849396,332.05093574523926,365.876588344574,378.2102520465851,399.2383966445923,439.68984174728394,466.7270209789276,504.4488801956177,535.7703988552094,574.1160933971405
total minutes,0.0,0.7548312385876973,1.519734259446462,2.0766525427500406,2.8273475925127665,3.6883633414904278,4.534574290116628,5.044573199748993,5.5341822624206545,6.097943139076233,6.303504200776418,6.653973277409872,7.328164029121399,7.778783682982127,8.407481336593628,8.929506647586823,9.568601556619008
cummulative feedback,0.0,6.0,10.0,128.0,259.0,353.0,427.0,456.0,488.0,518.0,524.0,533.0,542.0,552.0,559.0,563.0,564.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,600.0,831.0,998.0,998.0,604.0,577.0,674.0,235.0,417.0,833.0,545.0,773.0,640.0,792.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
