,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Accumulated time steps,0.0,1000.0,1786.0,2147.0,2510.0,2972.0,3971.0,4755.0,5198.0,5445.0,5846.0,6359.0,7358.0,7863.0,8391.0,8645.0,9268.0,9731.0,10724.0,11323.0,11791.0
Episode reward,0.0,-66.58666653078423,62.52361925014654,83.31472774714794,84.90282053694047,75.36312141272029,-49.001909095659414,60.537708650927,84.11503362400424,90.15383743834673,87.3269847046006,79.3488704679983,-36.69794971402966,77.99860685375077,79.99631342800893,90.54848188512868,80.72089907601594,84.13762359851104,67.73659661404088,76.1830035340883,84.43551850472122
Episode feedback,0.8,0.014028056098168281,0.2726114646208771,0.2055555549845679,0.18232044148530266,0.10845986961288531,0.08617234460303372,0.06257982112058771,0.07466063331524744,0.08536585331152093,0.06249999984375,0.029296874942779542,0.025050100175300502,0.03968253960380449,0.017077798829074387,0.027667984080363698,0.012861736313727112,0.010822510799085475,0.006048387090677029,0.001672240799879196,0.0021413276185410545
total seconds,0.0,43.82029485702515,88.83260917663574,109.13491821289062,129.30881214141846,153.87209939956665,204.4791398048401,243.08572006225586,265.5564787387848,278.54909658432007,298.8127911090851,323.77680802345276,370.49097084999084,395.2532949447632,420.6407325267792,433.151948928833,462.0733404159546,484.0251874923706,531.8197762966156,560.7689895629883,583.7877826690674
total minutes,0.0,0.7303382476170858,1.4805434862772624,1.818915303548177,2.155146869023641,2.5645349899927776,3.4079856634140016,4.051428667704264,4.42594131231308,4.642484943072001,4.980213185151418,5.396280133724213,6.174849514166514,6.587554915746053,7.010678875446319,7.219199148813884,7.70122234026591,8.067086458206177,8.863662938276926,9.346149826049805,9.72979637781779
cummulative feedback,0.0,14.0,228.0,302.0,368.0,418.0,504.0,553.0,586.0,607.0,632.0,647.0,672.0,692.0,701.0,708.0,716.0,721.0,727.0,728.0,729.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,785.0,360.0,362.0,461.0,998.0,783.0,442.0,246.0,400.0,512.0,998.0,504.0,527.0,253.0,622.0,462.0,992.0,598.0,467.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
