,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Accumulated time steps,0.0,1000.0,1536.0,1890.0,2238.0,2860.0,3300.0,3752.0,4093.0,4581.0,5122.0,5619.0,6072.0,6723.0,7290.0,7615.0,8012.0,8775.0,9774.0,10330.0,10629.0,11070.0,11613.0
Episode reward,0.0,-70.79465492996535,75.03230876674154,85.1406466460675,81.28263368127868,69.59658498275789,80.15126142924419,80.17486364054547,89.06802873744303,82.29528931418912,76.96154368726877,78.27907211624523,84.6117029556715,80.17874785866553,80.54061876201492,87.97570652674534,89.73282772482153,85.18526327729627,-26.421437554557464,83.49930706628501,93.68721382602095,89.89013047326635,88.58452434671113
Episode feedback,0.8,0.01102204407713222,0.3401869152519871,0.26345608990522357,0.14697406297701998,0.15458937173174014,0.15261958962956815,0.12416851413709865,0.1441176466349481,0.0924024638759703,0.08703703687585734,0.05846774181760536,0.030973451258908293,0.05384615376331361,0.03533568898350585,0.0185185184613626,0.027777777707631873,0.02099737530052838,0.01603206411219232,0.009009008992776561,0.0,0.004545454535123967,0.0
total seconds,0.0,45.39700388908386,78.21606945991516,99.29447436332703,118.58249402046204,152.39882111549377,176.63234663009644,201.0057234764099,219.91380310058594,245.60420036315918,273.86137080192566,299.36832213401794,322.2511441707611,355.14089345932007,383.59207367897034,400.1292676925659,420.2288544178009,457.63560009002686,506.16906905174255,533.4403159618378,548.5323765277863,570.3731427192688,596.8129642009735
total minutes,0.0,0.7566167314847311,1.3036011576652526,1.6549079060554504,1.976374900341034,2.5399803519248962,2.9438724438349406,3.3500953912734985,3.6652300516764322,4.093403339385986,4.564356180032094,4.9894720355669655,5.370852402846018,5.9190148909886675,6.393201227982839,6.668821128209432,7.003814240296681,7.6272600015004475,8.436151150862376,8.890671932697296,9.142206275463105,9.506219045321147,9.946882736682891
cummulative feedback,0.0,11.0,193.0,286.0,337.0,433.0,500.0,556.0,605.0,650.0,697.0,726.0,740.0,775.0,795.0,801.0,812.0,828.0,844.0,849.0,849.0,851.0,851.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,535.0,353.0,347.0,621.0,439.0,451.0,340.0,487.0,540.0,496.0,452.0,650.0,566.0,324.0,396.0,762.0,998.0,555.0,298.0,440.0,542.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
