,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3893.0,4173.0,4333.0,4509.0,4672.0,4831.0,4973.0,5206.0,5452.0,5705.0,5850.0,6069.0,6216.0,6359.0,6511.0,6653.0,6790.0,6937.0,7091.0,7243.0,7376.0,7513.0,7670.0,7806.0,7959.0,8180.0,8450.0,8596.0,8827.0,8993.0,9244.0,9381.0,9515.0,9736.0,9886.0,10130.0,10379.0,10633.0,10992.0,11128.0,11373.0,11519.0,11676.0,11827.0,11977.0
Episode reward,0.0,-59.026653654666994,-74.01791944877789,-66.63227395873452,46.1955748580911,86.25096233924883,91.65260167617943,90.37114620567769,90.63222161782892,90.14519705027462,90.73695294720899,88.02536478140118,85.61483158946177,87.60130558674318,91.76636771543376,89.94593780945257,89.89090877358531,89.53832945661956,91.59786813376063,92.07878309947974,92.03047330640192,91.1766678350931,92.19413019602203,90.80904220695619,91.52499351182259,92.49411504903776,89.55315731836494,91.95631547844592,90.58463608290907,89.27351369438175,83.91727003451916,91.20173249521535,89.42075618105304,91.150679184236,87.9205486624924,92.54802609652741,91.7801298694929,88.68405940412161,91.60182760504749,85.67863723939033,84.96644634783605,84.7782462514864,79.42378037640893,92.091423146771,87.48954731102404,90.60770162985712,91.51980388250963,90.91773017266716,90.97504923055682
Episode feedback,0.8,0.21242484948654825,0.054108216378649085,0.16633266516399534,0.05480984333913888,0.05734767004534885,0.04402515695581662,0.0742857138612245,0.05555555521262003,0.044303797187950654,0.07092198531261003,0.04741379289907848,0.04081632636401499,0.05158730138259007,0.03472222198109568,0.03211009159582527,0.03424657510790017,0.014084506943066852,0.03311258256216833,0.049645389718827024,0.007352941122404845,0.020547945064740104,0.026143790678798753,0.026490066049734664,0.007575757518365474,0.01470588224480969,0.012820512738330047,0.007407407352537723,0.0,0.013636363574380165,0.007434944210279018,0.013793103353151011,0.00869565213610586,0.018181818071625347,0.011999999952,0.007352941122404845,0.007518796935948895,0.009090909049586777,0.006711409350930139,0.004115226320513472,0.004032258048257024,0.0039525691543376715,0.0,0.007407407352537723,0.0,0.006896551676575506,0.0,0.0,0.0
total seconds,0.0,63.20067739486694,118.0448956489563,180.7137372493744,230.08952832221985,246.10483646392822,255.60227513313293,266.3772416114807,276.22258400917053,285.7132294178009,294.5798008441925,307.83928394317627,321.8969910144806,336.4482707977295,345.1084177494049,357.64273500442505,366.30558586120605,374.5300579071045,383.52711057662964,392.1338725090027,400.08507323265076,408.73577785491943,417.8122010231018,426.67052149772644,434.36012172698975,442.4165143966675,451.43837118148804,459.3507807254791,468.0102951526642,480.39025831222534,495.015465259552,503.4571166038513,516.2503402233124,525.844563961029,539.7026224136353,547.7285435199738,555.5571873188019,567.6136367321014,576.2302887439728,589.4163796901703,603.0242400169373,616.8940298557281,635.7185854911804,643.5781264305115,656.9745399951935,665.3197190761566,674.2518656253815,682.8281996250153,691.2551896572113
total minutes,0.0,1.0533446232477823,1.967414927482605,3.0118956208229064,3.8348254720369974,4.101747274398804,4.260037918885549,4.439620693524678,4.603709733486175,4.761887156963349,4.9096633474032085,5.1306547323862715,5.364949850241343,5.607471179962158,5.751806962490082,5.960712250073751,6.105093097686767,6.242167631785075,6.392118509610494,6.535564541816711,6.668084553877512,6.812262964248657,6.963536683718363,7.111175358295441,7.2393353621164955,7.373608573277791,7.523972853024801,7.655846345424652,7.800171585877736,8.006504305203755,8.250257754325867,8.390951943397521,8.604172337055207,8.76407606601715,8.99504370689392,9.12880905866623,9.259286455313365,9.460227278868357,9.60383814573288,9.823606328169506,10.050404000282288,10.281567164262135,10.59530975818634,10.726302107175192,10.949575666586558,11.088661984602611,11.237531093756358,11.380469993750255,11.520919827620189
cummulative feedback,0.0,212.0,266.0,432.0,481.0,497.0,504.0,517.0,526.0,533.0,543.0,554.0,564.0,577.0,582.0,589.0,594.0,596.0,601.0,608.0,609.0,612.0,616.0,620.0,621.0,623.0,625.0,626.0,626.0,629.0,631.0,633.0,635.0,638.0,641.0,642.0,643.0,645.0,646.0,647.0,648.0,649.0,649.0,650.0,650.0,651.0,651.0,651.0,651.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,894.0,279.0,159.0,175.0,162.0,158.0,141.0,232.0,245.0,252.0,144.0,218.0,146.0,142.0,151.0,141.0,136.0,146.0,153.0,151.0,132.0,136.0,156.0,135.0,152.0,220.0,269.0,145.0,230.0,165.0,250.0,136.0,133.0,220.0,149.0,243.0,248.0,253.0,358.0,135.0,244.0,145.0,156.0,150.0,149.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
