,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3481.0,4061.0,4538.0,4807.0,5174.0,5637.0,5891.0,6143.0,6411.0,6771.0,7014.0,7262.0,7612.0,7879.0,8026.0,8335.0,8579.0,8826.0,9085.0,9244.0,9504.0,9758.0,10035.0,10291.0,10444.0,10607.0,10846.0,11005.0,11265.0,11418.0,11690.0
Episode reward,0.0,-68.9905928166631,-62.055861907441034,-61.459639291324756,73.6381267013097,69.61092004065605,75.6741755693255,85.4165435570203,80.53786113675295,75.66398733993243,87.96729199142132,86.65384483863723,84.78308147113242,81.88473421720107,86.79876063528552,85.9560568571838,81.14522976708477,85.51526576828367,92.02040075045245,85.99774671272566,86.87498600476961,86.31052589042015,87.2254356751215,90.92376845363393,84.20423362549907,87.28567185909858,86.13226024693103,86.78565896487868,91.75469459597595,90.00913232982565,87.7907493761349,91.3683548238648,85.3867456069922,90.39784212559994,86.26523005944344
Episode feedback,0.8,0.0100200400701202,0.0030060120210360602,0.15130260505881502,0.10373443961880821,0.06390328140949347,0.05252100829302309,0.04477611923591,0.03825136601570665,0.041125541036524806,0.027667984080363698,0.04382470102061872,0.037453183380325154,0.02228412250060133,0.020661156939416708,0.032388663836483145,0.01719197702810322,0.011278195446322574,0.0,0.009740259708635521,0.008230452641026944,0.008130081267763897,0.015503875908899706,0.0,0.00386100384609651,0.0039525691543376715,0.010869565178008822,0.00392156861207228,0.0,0.0,0.0,0.0,0.00386100384609651,0.0,0.0
total seconds,0.0,45.18646764755249,90.59616804122925,151.44851088523865,180.35843229293823,212.95384049415588,239.62780857086182,254.9907774925232,275.2728533744812,300.90527963638306,315.25590205192566,329.5736267566681,344.8007559776306,364.53048944473267,378.0600028038025,391.88038516044617,410.9241690635681,425.5688991546631,433.98017859458923,450.70759296417236,464.02105951309204,477.6650369167328,491.9320683479309,500.96912455558777,515.1207127571106,528.8913924694061,544.1339395046234,558.1050961017609,566.8233392238617,576.0293660163879,588.8831233978271,597.9024171829224,612.0112709999084,620.7244436740875,635.4309945106506
total minutes,0.0,0.7531077941258748,1.5099361340204875,2.524141848087311,3.0059738715489703,3.549230674902598,3.9937968095143637,4.249846291542053,4.587880889574687,5.0150879939397175,5.254265034198761,5.492893779277802,5.746679266293843,6.075508157412211,6.301000046730041,6.531339752674103,6.848736151059469,7.092814985911051,7.233002976576487,7.511793216069539,7.733684325218201,7.961083948612213,8.198867805798848,8.349485409259795,8.58534521261851,8.814856541156768,9.068898991743724,9.301751601696015,9.447055653731029,9.600489433606466,9.81471872329712,9.96504028638204,10.200187849998475,10.345407394568126,10.59051657517751
cummulative feedback,0.0,10.0,13.0,164.0,214.0,251.0,276.0,288.0,302.0,321.0,328.0,339.0,349.0,357.0,362.0,370.0,376.0,379.0,379.0,382.0,384.0,386.0,390.0,390.0,391.0,392.0,395.0,396.0,396.0,396.0,396.0,396.0,397.0,397.0,397.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,482.0,579.0,476.0,268.0,366.0,462.0,253.0,251.0,267.0,359.0,242.0,247.0,349.0,266.0,146.0,308.0,243.0,246.0,258.0,158.0,259.0,253.0,276.0,255.0,152.0,162.0,238.0,158.0,259.0,152.0,271.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
