,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,669.0,934.0,1091.0,1460.0,1712.0,2102.0,2354.0,2619.0,2877.0,3256.0,3405.0,3666.0,4016.0,4277.0,4436.0,4801.0,4970.0,5134.0,5401.0,5764.0,5923.0,6197.0,6570.0,7010.0,7170.0,7322.0,7490.0,8375.0,8554.0,8917.0,9074.0,9355.0,9517.0,9791.0,9957.0,10117.0,10393.0,10886.0,11152.0,11415.0,11693.0,11880.0
Episode reward,0.0,64.53957560314595,85.14822254401686,91.74753100002297,79.81986435863703,85.34359299554308,77.33837715736414,86.60282795046139,85.29822645095511,86.51333203653714,77.8571740982153,92.218628283125,86.06317969658018,79.3415578390109,85.80300952861694,90.84592384156363,79.05364113808967,89.69421086707192,90.95166762706418,86.45315347662572,80.64167389463212,90.75734895143282,84.36647162543142,79.74704038969818,75.30400887087816,90.82181590841421,91.04222443110805,89.02335933794424,46.7592044075354,88.90511811878889,80.54981380837495,91.03549056256222,82.5146896198165,90.61553373047357,83.31878165693922,90.59223983636218,90.68275780778548,83.64585522512402,69.39282303186197,84.30418494443128,84.56191612571862,83.54102147712959,87.90899510289512
Episode feedback,0.8,0.3043478256306629,0.1401515146206382,0.13461538375246548,0.16847826041174385,0.15139442170759196,0.09768637507021498,0.0916334657703846,0.07954545424414601,0.07392996080182895,0.05026455013157526,0.04729729697772097,0.06923076896449705,0.065902578607729,0.04999999980769231,0.03164556941996475,0.024725274657348147,0.01785714275085034,0.03067484643757763,0.04135338330318277,0.0027624309315954945,0.0126582277679859,0.01465201459834427,0.008064516107353452,0.018223234582635,0.006289308136545232,0.013245033024867332,0.005988023916239378,0.003393665154532053,0.0,0.005524861863190989,0.0,0.0,0.0,0.0036630036495860674,0.006060606023875115,0.0,0.007272727246280992,0.0,0.0037735848914204344,0.0,0.0,0.0
total seconds,0.0,46.05766677856445,62.95791006088257,73.26190948486328,96.96016049385071,113.25095677375793,136.4907350540161,151.66495776176453,167.36100578308105,182.48007774353027,203.82212352752686,212.85924887657166,228.27566361427307,248.2818145751953,263.26378989219666,272.587274312973,292.6632807254791,302.0790870189667,311.71543049812317,326.89529943466187,346.2435677051544,355.41920471191406,370.23736906051636,390.2071394920349,413.92127680778503,423.0044550895691,431.67110896110535,441.1238932609558,487.2626271247864,497.3191885948181,516.7591872215271,525.697940826416,540.8391363620758,549.8989117145538,564.609738111496,573.9685373306274,583.0285739898682,598.0636067390442,623.7979252338409,638.2718441486359,652.5433793067932,667.5375881195068,677.9153158664703
total minutes,0.0,0.7676277796427409,1.0492985010147096,1.2210318247477214,1.6160026748975118,1.887515946229299,2.274845584233602,2.5277492960294086,2.7893500963846845,3.041334629058838,3.3970353921254475,3.5476541479428607,3.8045943935712176,4.138030242919922,4.387729831536611,4.54312123854955,4.877721345424652,5.034651450316111,5.195257174968719,5.448254990577698,5.77072612841924,5.923653411865234,6.170622817675272,6.503452324867249,6.898687946796417,7.050074251492818,7.194518482685089,7.352064887682597,8.121043785413105,8.288653143246968,8.612653120358784,8.761632347106934,9.013985606034597,9.164981861909231,9.410162301858266,9.56614228884379,9.717142899831137,9.96772677898407,10.396632087230682,10.637864069143932,10.875722988446553,11.125626468658448,11.298588597774506
cummulative feedback,0.0,203.0,240.0,261.0,323.0,361.0,399.0,422.0,443.0,462.0,481.0,488.0,506.0,529.0,542.0,547.0,556.0,559.0,564.0,575.0,576.0,578.0,582.0,585.0,593.0,594.0,596.0,597.0,600.0,600.0,602.0,602.0,602.0,602.0,603.0,604.0,604.0,606.0,606.0,607.0,607.0,607.0,607.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,667.0,264.0,156.0,368.0,251.0,389.0,251.0,264.0,257.0,378.0,148.0,260.0,349.0,260.0,158.0,364.0,168.0,163.0,266.0,362.0,158.0,273.0,372.0,439.0,159.0,151.0,167.0,884.0,178.0,362.0,156.0,280.0,161.0,273.0,165.0,159.0,275.0,492.0,265.0,262.0,277.0,186.0
e,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
