,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,1000.0,1337.0,1595.0,1756.0,1903.0,2062.0,2428.0,2687.0,2936.0,3090.0,3248.0,3940.0,4099.0,4570.0,4815.0,5069.0,5259.0,5520.0,5670.0,5845.0,6224.0,6375.0,6635.0,6881.0,7037.0,7197.0,7351.0,7504.0,7851.0,8104.0,8475.0,8737.0,9119.0,9534.0,9690.0,9958.0,10238.0,10504.0,10956.0,11148.0,11548.0,11801.0
Episode reward,0.0,-58.34869973637797,79.75685351882461,83.38472660338638,90.09412203463458,91.82700705974855,91.35541785014917,80.16965582567133,86.33014626520657,86.01515004270087,90.92346099201255,91.32763348998306,66.02584590317721,91.93957312048936,77.5882634395569,87.57479079610677,86.72239578029982,91.42592197850497,85.94033637365847,91.41191794895624,90.44404162681145,81.48412053696029,91.16075059452521,85.28072193014175,89.57091625486476,92.3832691390833,91.8475815607677,92.15629263075046,92.1430556125735,84.45556796728675,86.77539360546186,84.36912274881529,87.33601670741166,81.77752613692424,80.09671672046574,91.59302038306701,85.54646877892523,84.32409781643275,87.1686191482535,81.19807229813111,89.70534530853126,78.6538451972578,87.29062150153514
Episode feedback,0.8,0.28056112196336563,0.2232142850499575,0.15564202274069253,0.1562499990234375,0.17123287553950087,0.1898734165197885,0.169863013233252,0.14728682113454722,0.1008064512064256,0.1111111103848947,0.05095541368818208,0.09696092605360214,0.06962025272392246,0.06595744666817564,0.07377049150094062,0.019762845771688357,0.08994708947117942,0.007692307662721894,0.026845637403720556,0.03448275842251288,0.026455026385039614,0.019999999866666666,0.023166023076579063,0.016326530545605997,0.03225806430801249,0.02515723254618093,0.026143790678798753,0.01315789465027701,0.01445086701025761,0.019841269762534645,0.024324324258582906,0.015325670439365247,0.010498687636486384,0.012077294656818128,0.012903225723204995,0.011235955014097547,0.0035842293778343033,0.0037735848914204344,0.0022172948953053328,0.0,0.005012531315758067,0.003968253952506929
total seconds,0.0,68.22446036338806,91.67634725570679,108.4977798461914,119.25615429878235,129.4372398853302,140.50759077072144,164.24798727035522,180.9184124469757,196.08056926727295,206.0330147743225,215.8620297908783,256.55215883255005,266.3583698272705,293.023654460907,307.5501620769501,321.63058590888977,333.3575475215912,347.39815068244934,356.1628909111023,366.39494705200195,387.06279969215393,395.875972032547,410.2564535140991,423.8564968109131,433.01202511787415,442.34837770462036,451.41038727760315,460.2550892829895,478.89978790283203,492.9536221027374,513.2496428489685,527.6863679885864,548.07422041893,570.2896914482117,579.2176597118378,593.8966751098633,608.7917952537537,623.317991733551,647.0667023658752,657.7188112735748,678.6587171554565,692.4690549373627
total minutes,0.0,1.137074339389801,1.5279391209284465,1.8082963307698567,1.9876025716463726,2.15728733142217,2.341793179512024,2.7374664545059204,3.015306874116262,3.2680094877878827,3.4338835795720417,3.5977004965146384,4.275869313875834,4.439306163787842,4.88372757434845,5.125836034615834,5.360509765148163,5.555959125359853,5.789969178040822,5.936048181851705,6.106582450866699,6.451046661535899,6.597932867209116,6.837607558568319,7.064274946848552,7.216867085297903,7.372472961743672,7.523506454626719,7.6709181547164915,7.9816631317138675,8.215893701712291,8.554160714149475,8.794772799809774,9.1345703403155,9.504828190803527,9.653627661863963,9.89827791849772,10.146529920895894,10.388633195559184,10.784445039431255,10.961980187892914,11.31097861925761,11.541150915622712
cummulative feedback,0.0,280.0,355.0,395.0,420.0,445.0,475.0,537.0,575.0,600.0,617.0,625.0,692.0,703.0,734.0,752.0,757.0,774.0,776.0,780.0,786.0,796.0,799.0,805.0,809.0,814.0,818.0,822.0,824.0,829.0,834.0,843.0,847.0,851.0,856.0,858.0,861.0,862.0,863.0,864.0,864.0,866.0,867.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,336.0,257.0,160.0,146.0,158.0,365.0,258.0,248.0,153.0,157.0,691.0,158.0,470.0,244.0,253.0,189.0,260.0,149.0,174.0,378.0,150.0,259.0,245.0,155.0,159.0,153.0,152.0,346.0,252.0,370.0,261.0,381.0,414.0,155.0,267.0,279.0,265.0,451.0,191.0,399.0,252.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
