,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Accumulated time steps,0.0,1000.0,1693.0,2050.0,2505.0,2766.0,2912.0,3184.0,3346.0,3502.0,3767.0,4121.0,4277.0,4555.0,4717.0,4907.0,5172.0,5527.0,6083.0,6233.0,6596.0,6847.0,7007.0,7257.0,7499.0,7760.0,7930.0,8196.0,8451.0,8910.0,9060.0,9216.0,9590.0,9847.0,10001.0,10576.0,10914.0,11162.0,11507.0,11944.0
Episode reward,0.0,-57.2402364149671,58.395322356956534,79.68367984088815,75.39983079647295,85.79534755852599,91.9590383049521,84.95949214528545,90.20696225212718,91.23801116878012,83.53850452489574,81.22049715343589,90.87147520909178,82.84638687113377,90.21176871371243,88.87390989582006,86.55568240885158,81.11777441463686,69.6086388732049,91.47927053666855,78.81064831900083,86.56737059881682,91.45617179209364,87.14663306729449,87.47981344021218,84.71137688761779,90.88471697741299,86.68104914092137,88.47260703365957,78.96611844294605,92.32633553748471,91.32226043357666,82.35321542406354,87.17538064489794,91.99733923269054,70.91375057836107,83.95635032406551,87.74912079559273,83.62155681784706,78.63279383126576
Episode feedback,0.8,0.2945891780615339,0.19075144481105283,0.13483146029541726,0.11453744468163558,0.11153846110946745,0.1448275852080856,0.11070110660257894,0.08074534111338298,0.06451612861602497,0.041666666508838386,0.11614730845284049,0.06451612861602497,0.06137184093367567,0.01242236017128969,0.021164021052042216,0.06439393915002296,0.04802259873439944,0.03423423417255093,0.033557046754650696,0.027624309315954946,0.027999999888,0.012578616273090464,0.020080321204496702,0.0041493775761436615,0.019230769156804734,0.01775147918490249,0.007547169782840869,0.015748031434062868,0.008733624435079423,0.020134228052790415,0.0,0.005361930280531018,0.011718749954223633,0.0,0.001742160275710522,0.0,0.004048582979560393,0.0,0.0
total seconds,0.0,68.76910734176636,113.96432971954346,136.87053680419922,164.10107493400574,180.170179605484,189.926096200943,206.62957763671875,216.6521852016449,226.08910417556763,241.0924997329712,262.67142271995544,272.1837978363037,288.3190858364105,297.55367946624756,308.39199233055115,324.0466115474701,344.0768234729767,374.1098256111145,383.02113032341003,402.882670879364,416.90954518318176,426.0211968421936,439.98663878440857,453.26348185539246,467.6853759288788,477.42009449005127,491.8035259246826,505.9420404434204,530.3246014118195,539.0607912540436,547.7248404026031,567.6459610462189,581.7778759002686,590.5790855884552,620.2569601535797,638.1830320358276,651.8333840370178,670.1623265743256,692.925496339798
total minutes,0.0,1.1461517890294393,1.8994054953257242,2.2811756134033203,2.7350179155667624,3.0028363267580667,3.165434936682383,3.4438262939453126,3.610869753360748,3.7681517362594605,4.018208328882853,4.377857045332591,4.536396630605062,4.805318097273509,4.959227991104126,5.1398665388425195,5.400776859124502,5.734613724549612,6.235163760185242,6.383685505390167,6.714711181322733,6.948492419719696,7.100353280703227,7.333110646406809,7.554391364256541,7.794756265481313,7.957001574834188,8.196725432078043,8.432367340723674,8.838743356863658,8.984346520900726,9.128747340043386,9.460766017436981,9.696297931671143,9.842984759807587,10.337616002559662,10.636383867263794,10.863889733950296,11.169372109572093,11.548758272329966
cummulative feedback,0.0,294.0,426.0,474.0,526.0,555.0,576.0,606.0,619.0,629.0,640.0,681.0,691.0,708.0,710.0,714.0,731.0,748.0,767.0,772.0,782.0,789.0,791.0,796.0,797.0,802.0,805.0,807.0,811.0,815.0,818.0,818.0,820.0,823.0,823.0,824.0,824.0,825.0,825.0,825.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,692.0,356.0,454.0,260.0,145.0,271.0,161.0,155.0,264.0,353.0,155.0,277.0,161.0,189.0,264.0,354.0,555.0,149.0,362.0,250.0,159.0,249.0,241.0,260.0,169.0,265.0,254.0,458.0,149.0,155.0,373.0,256.0,153.0,574.0,337.0,247.0,344.0,436.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
