,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Accumulated time steps,0.0,1000.0,1999.0,2998.0,3923.0,4657.0,5071.0,5335.0,5612.0,6059.0,6496.0,7078.0,7546.0,7795.0,8048.0,8282.0,8460.0,8738.0,8910.0,9075.0,9408.0,9749.0,10085.0,10505.0,10764.0,11089.0,11257.0,11607.0
Episode reward,0.0,-61.50984048351274,-73.07295167042419,-53.65806109126308,47.39499764199569,56.833098686999534,79.64281628316337,86.21585000719165,85.57233181362119,77.48218273649044,78.64911929533794,72.56801866720176,76.13728952749787,87.71257238818505,87.04558536237434,88.75613671655303,89.71892900579705,84.13793106267471,90.91632317497887,91.28203980953468,85.19774243906244,83.90597161979326,84.174632853381,81.44468058005094,87.32181017550418,85.84236449513044,91.89885530262626,83.18439111987192
Episode feedback,0.8,0.00801603205609616,0.007014028049084141,0.19939879739539199,0.12445887432417871,0.06548431096114009,0.04600484250362023,0.034220532189275545,0.025362318748687253,0.029147981997426048,0.01834862381112701,0.025817555893601452,0.01927194856686949,0.02016129024128512,0.0,0.017167381900569177,0.01694915244661496,0.0036101082902162155,0.005847953182175712,0.0,0.0030120481836986503,0.008823529385813149,0.0029850746179550013,0.009546539356690836,0.007751937954449853,0.003086419743560433,0.005988023916239378,0.0
total seconds,0.0,44.85275602340698,91.05874109268188,155.0953333377838,210.3283772468567,251.31777262687683,274.4524574279785,289.36126947402954,304.54891657829285,328.88211035728455,352.31445264816284,383.41942977905273,408.6315596103668,422.5486307144165,436.0367841720581,449.12542963027954,459.2172248363495,474.3128888607025,484.0558121204376,493.33722281455994,511.04237031936646,529.3701207637787,547.5122838020325,569.7022786140442,583.7846193313599,601.1972448825836,610.7727739810944,629.2156915664673
total minutes,0.0,0.7475459337234497,1.5176456848780313,2.584922222296397,3.505472954114278,4.18862954378128,4.574207623799642,4.822687824567159,5.075815276304881,5.481368505954743,5.8719075441360475,6.390323829650879,6.810525993506114,7.042477178573608,7.267279736200968,7.485423827171326,7.653620413939158,7.905214814345042,8.067596868673961,8.222287046909333,8.517372838656108,8.822835346062979,9.125204730033875,9.495037976900736,9.729743655522665,10.019954081376394,10.17954623301824,10.486928192774455
cummulative feedback,0.0,8.0,15.0,214.0,329.0,377.0,396.0,405.0,412.0,425.0,433.0,448.0,457.0,462.0,462.0,466.0,469.0,470.0,471.0,471.0,472.0,475.0,476.0,480.0,482.0,483.0,484.0,484.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,998.0,924.0,733.0,413.0,263.0,276.0,446.0,436.0,581.0,467.0,248.0,252.0,233.0,177.0,277.0,171.0,164.0,332.0,340.0,335.0,419.0,258.0,324.0,167.0,349.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
