,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Accumulated time steps,0.0,1000.0,1999.0,2679.0,3066.0,3412.0,3779.0,4060.0,4339.0,4520.0,4884.0,5156.0,5423.0,5680.0,6032.0,6286.0,6546.0,6801.0,6973.0,7328.0,7575.0,7904.0,8185.0,8424.0,8664.0,8998.0,9150.0,9299.0,9551.0,9698.0,9951.0,10218.0,10561.0,10820.0,11082.0,11354.0,11614.0,11863.0
Episode reward,0.0,-62.44012103381081,-63.81137460380618,56.24134625566913,74.77344601698744,79.81957196149244,79.91835732087756,83.20905613163819,83.63500240416059,89.68968698397161,79.12389393529547,85.42196825794184,85.60989227854935,85.75948004217116,81.43271580956853,87.60858672698413,86.92372717416974,87.14509516033128,90.74545592549023,82.84562596461843,88.3577444117901,82.6132686459876,86.24618570312202,86.93847143762167,87.26593054728983,83.71944061200031,92.39312304348414,91.4967103782313,86.80315162256062,92.60988859742139,87.43741404561744,86.64668157142269,84.90540642095807,86.89886174015408,86.78352354648001,85.12698112449354,87.11692314090159,86.2030793216028
Episode feedback,0.8,0.19939879739539199,0.249498997745993,0.19734904241922085,0.09067357489462805,0.06376811575719386,0.11475409804711995,0.053571428380102044,0.0467625897598468,0.044444444197530866,0.060606060439101765,0.06642066396154736,0.04887218026739782,0.0351562498626709,0.03703703693151841,0.019762845771688357,0.03088803076877208,0.02755905500961002,0.011695906364351425,0.0141242937454116,0.016260162535527794,0.012195121914039262,0.0,0.012605041963844361,0.008368200801806691,0.012012011975939905,0.013245033024867332,0.0,0.007968127458294312,0.0068493150215800346,0.003968253952506929,0.022556390892645148,0.008771929798912486,0.007751937954449853,0.0,0.0,0.00386100384609651,0.008064516096514047
total seconds,0.0,62.297961711883545,130.18823671340942,174.31304454803467,197.22444987297058,217.37626576423645,239.64390015602112,255.84400844573975,271.7908000946045,282.3635277748108,303.0861473083496,319.01778864860535,334.36781787872314,348.68675231933594,368.3393301963806,382.42783784866333,397.0956144332886,411.372127532959,421.06158232688904,440.2896089553833,453.9560124874115,471.78385066986084,486.7310149669647,500.027174949646,513.2754461765289,531.331130027771,540.02667927742,548.4671654701233,562.3797354698181,570.8081305027008,584.663078546524,599.4172902107239,617.6006393432617,631.7718222141266,645.9947435855865,660.637214422226,674.5677890777588,688.2891166210175
total minutes,0.0,1.0382993618647258,2.1698039452234905,2.905217409133911,3.2870741645495096,3.622937762737274,3.994065002600352,4.264066807428995,4.529846668243408,4.706058796246847,5.051435788472493,5.316963144143423,5.572796964645386,5.811445871988933,6.138988836606344,6.373797297477722,6.618260240554809,6.856202125549316,7.017693038781484,7.338160149256388,7.565933541456858,7.863064177831014,8.112183582782745,8.333786249160767,8.554590769608815,8.855518833796184,9.000444654623667,9.141119424502055,9.372995591163635,9.51346884171168,9.744384642442068,9.990288170178731,10.293343989054362,10.529530370235443,10.766579059759776,11.010620240370432,11.242796484629313,11.471485277016958
cummulative feedback,0.0,199.0,448.0,582.0,617.0,639.0,681.0,696.0,709.0,717.0,739.0,757.0,770.0,779.0,792.0,797.0,805.0,812.0,814.0,819.0,823.0,827.0,827.0,830.0,832.0,836.0,838.0,838.0,840.0,841.0,842.0,848.0,851.0,853.0,853.0,853.0,854.0,856.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,998.0,679.0,386.0,345.0,366.0,280.0,278.0,180.0,363.0,271.0,266.0,256.0,351.0,253.0,259.0,254.0,171.0,354.0,246.0,328.0,280.0,238.0,239.0,333.0,151.0,148.0,251.0,146.0,252.0,266.0,342.0,258.0,261.0,271.0,259.0,248.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
