,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Accumulated time steps,0.0,601.0,690.0,1081.0,1568.0,2416.0,3415.0,4414.0,4938.0,5937.0,6936.0,7935.0,8934.0,9933.0,10444.0,11326.0
Episode reward,0.0,61.088216326128176,93.60419614681788,71.26942302805051,56.937699803517525,20.648786117495703,-97.90091952471774,-98.60578534201974,48.76835240574362,-99.57347876762769,-99.73658377394582,-97.96008621044663,-99.7870661829967,-99.8019522461134,50.66006207561167,15.020444891502294
Episode feedback,0.8,0.3789649409366195,0.47727272184917363,0.2794871787705457,0.2818930035351996,0.20779220754688052,0.17234468920606744,0.09819639268717796,0.1108986613558343,0.033066132231396664,0.024048096168288482,0.03206412822438464,0.01803607212621636,0.014028056098168281,0.005882352929642445,0.004540295114029177
total seconds,0.0,44.14329266548157,52.396172523498535,80.43185830116272,115.18537902832031,173.15907835960388,236.88524794578552,294.9695816040039,326.30413818359375,379.6881194114685,432.95516705513,486.4386873245239,538.7294216156006,590.6357593536377,617.5382463932037,663.147668838501
total minutes,0.0,0.7357215444246928,0.8732695420583089,1.3405309716860454,1.9197563171386718,2.885984639326731,3.948087465763092,4.916159693400065,5.438402303059896,6.328135323524475,7.215919450918833,8.107311455408732,8.978823693593343,9.843929322560628,10.292304106553395,11.05246114730835
cummulative feedback,0.0,227.0,269.0,378.0,515.0,691.0,863.0,961.0,1019.0,1052.0,1076.0,1108.0,1126.0,1140.0,1143.0,1147.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,599.0,88.0,390.0,486.0,847.0,998.0,998.0,523.0,998.0,998.0,998.0,998.0,998.0,510.0,881.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
