,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Accumulated time steps,0.0,893.0,1260.0,1748.0,2236.0,2490.0,2671.0,2836.0,3229.0,3404.0,3559.0,3907.0,4068.0,4314.0,4568.0,4830.0,5184.0,5447.0,5602.0,5755.0,6046.0,6621.0,6781.0,6949.0,7106.0,7270.0,7615.0,7891.0,8145.0,8354.0,8610.0,8870.0,9203.0,9476.0,9918.0,10272.0,10424.0,10605.0,10994.0,11171.0,11334.0,11617.0,11776.0
Episode reward,0.0,46.82102510698312,79.38327033373348,70.92590784377857,74.64313920463835,86.30058360244121,89.27611746720437,90.7959028049873,79.33995813309215,89.26303083480062,91.33583549192835,82.63008801619272,91.68108430460174,88.25019540385722,87.79961328395308,87.51037162542289,83.07959172488124,86.60946501198158,91.81392367569028,92.10487040141949,82.4020173596166,70.3180411326232,91.02225647361661,90.60982049924864,90.91863843423548,90.9152381838237,81.29577457079421,85.72777220659516,87.41477424674741,87.1734469364,85.74877024990411,85.64927620874987,78.92267096822874,88.53253688007028,74.46414668000146,81.94104726236647,91.93601092060246,89.3881997750715,79.86194692657337,90.36981086769265,91.59349479204064,89.11363876816176,92.5653712769083
Episode feedback,0.8,0.2940516270549364,0.18032786835975992,0.15195071837381782,0.16632443497674654,0.10276679801277945,0.13888888811728395,0.11585365783016062,0.11224489767284465,0.05747126403752147,0.0389610387080452,0.06916426493036235,0.0812499994921875,0.07346938745522699,0.06719367562374041,0.038314176098413116,0.03966005654487236,0.019083969392809277,0.04545454515938607,0.03947368395083103,0.027586206801426875,0.0313588849627894,0.018867924409635695,0.03592814349743627,0.012820512738330047,0.0,0.011627906942942131,0.007272727246280992,0.015810276617350686,0.004807692284578402,0.00392156861207228,0.00772200769219302,0.006024096367397301,0.011029411724156574,0.004535147382006469,0.008498583545329792,0.0,0.005555555524691358,0.005154639161972579,0.005681818149535124,0.006172839468068892,0.0,0.0
total seconds,0.0,61.38276529312134,85.09396195411682,115.61284351348877,146.6465106010437,162.92987990379333,175.1101679801941,185.70281505584717,209.39428877830505,219.9281301498413,229.0628044605255,249.27143168449402,259.1582190990448,273.66400599479675,288.5377995967865,303.3576889038086,323.0408101081848,337.49159955978394,346.8123450279236,355.87895464897156,371.9877121448517,402.87171816825867,412.148775100708,421.96051955223083,431.0391802787781,440.2872176170349,458.81916999816895,473.8814227581024,487.9314856529236,499.45850110054016,513.3830983638763,527.3920052051544,545.3466084003448,560.1973061561584,583.5624430179596,602.4706070423126,611.0908365249634,621.2221441268921,641.8969247341156,651.6291990280151,660.8735897541046,676.2117187976837,685.2656111717224
total minutes,0.0,1.023046088218689,1.4182326992352803,1.9268807252248128,2.444108510017395,2.7154979983965557,2.9185027996699016,3.0950469175974527,3.489904812971751,3.6654688358306884,3.8177134076754253,4.154523861408234,4.319303651650746,4.561066766579946,4.808963326613108,5.055961481730143,5.38401350180308,5.624859992663065,5.780205750465393,5.931315910816193,6.199795202414195,6.714528636137644,6.869146251678467,7.032675325870514,7.1839863379796345,7.338120293617249,7.646986166636149,7.89802371263504,8.132191427548726,8.32430835167567,8.556384972731273,8.78986675341924,9.089110140005747,9.336621769269307,9.726040716965993,10.041176784038544,10.184847275416056,10.353702402114868,10.698282078901928,10.86048665046692,11.014559829235077,11.270195313294728,11.421093519528707
cummulative feedback,0.0,262.0,328.0,402.0,483.0,509.0,534.0,553.0,597.0,607.0,613.0,637.0,650.0,668.0,685.0,695.0,709.0,714.0,721.0,727.0,735.0,753.0,756.0,762.0,764.0,764.0,768.0,770.0,774.0,775.0,776.0,778.0,780.0,783.0,785.0,788.0,788.0,789.0,791.0,792.0,793.0,793.0,793.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,891.0,366.0,487.0,487.0,253.0,180.0,164.0,392.0,174.0,154.0,347.0,160.0,245.0,253.0,261.0,353.0,262.0,154.0,152.0,290.0,574.0,159.0,167.0,156.0,163.0,344.0,275.0,253.0,208.0,255.0,259.0,332.0,272.0,441.0,353.0,151.0,180.0,388.0,176.0,162.0,282.0,158.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
