,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Accumulated time steps,0.0,1000.0,1546.0,1806.0,2358.0,2741.0,3005.0,3264.0,3527.0,3784.0,4043.0,4457.0,4836.0,4977.0,5337.0,5592.0,5848.0,6098.0,6435.0,6582.0,6748.0,7107.0,7250.0,7499.0,7820.0,7976.0,8243.0,8395.0,8638.0,8895.0,9235.0,9671.0,9952.0,10104.0,10257.0,10504.0,10852.0,11213.0,11371.0,11624.0,11776.0
Episode reward,0.0,-62.28780422071034,70.27122591818367,85.59629060981358,69.90378203041121,79.75327867245117,86.75693217839456,85.33982033366476,86.3845745691564,85.81110180411054,87.8481101746599,77.87856254444733,80.90961275940694,92.92227741295738,81.61366231051733,85.46421009913084,85.23289352352042,85.91232346376259,81.80586871077226,91.64261001305883,90.73139408085191,81.66811703747764,92.721890163105,87.56565521188533,85.07566151134233,91.51202509698699,85.0014201604683,92.23320124723116,89.49567396542369,85.66327774869913,85.03937550710734,82.93950423644483,87.20125394085062,92.76721313769035,92.67908529655759,87.11436053738586,83.81848436111282,82.48357906243382,91.21740846412543,86.33836949189157,91.56597060690484
Episode feedback,0.8,0.2254509015777045,0.2678899077653396,0.15830115768995692,0.08892921943932991,0.107329842650969,0.1292775660483743,0.07364341056727361,0.09541984696404639,0.07812499969482423,0.10465116238507302,0.06779661000533509,0.05555555540858319,0.035714285459183676,0.04456824500120266,0.04330708644367289,0.04313725473279508,0.02409638544539604,0.02380952373866213,0.027397260086320138,0.006060606023875115,0.02793296081582972,0.007042253471533426,0.024193548289542146,0.028124999912109375,0.019354838584807493,0.015037593928430099,0.019867549537300997,0.0,0.023437499908447266,0.011799409994692006,0.011494252847139648,0.007142857117346939,0.013245033024867332,0.0,0.0040650406338819485,0.011527377488393725,0.011111111080246913,0.0,0.003968253952506929,0.006622516512433666
total seconds,0.0,64.45182466506958,102.75921678543091,119.70433640480042,151.68786311149597,174.73028826713562,191.29408431053162,206.55617809295654,222.4832022190094,237.8177149295807,253.62981128692627,277.09653067588806,298.65010142326355,307.0778694152832,327.3364987373352,341.8583068847656,356.43474769592285,370.48898911476135,389.02229475975037,397.6687865257263,406.942595243454,426.7316470146179,434.9738914966583,448.9210979938507,466.45311641693115,475.5620195865631,490.243647813797,499.0554804801941,512.2808094024658,526.8212223052979,545.0311725139618,568.3288083076477,583.5412917137146,592.1504125595093,600.7174181938171,614.1755414009094,632.9376714229584,652.359584569931,661.1228356361389,674.885098695755,683.6061525344849
total minutes,0.0,1.0741970777511596,1.7126536130905152,1.9950722734133401,2.5281310518582663,2.912171471118927,3.1882347385088603,3.4426029682159425,3.7080533703168235,3.963628582159678,4.227163521448771,4.618275511264801,4.977501690387726,5.11796449025472,5.45560831228892,5.697638448079427,5.940579128265381,6.174816485246023,6.483704912662506,6.627813108762106,6.7823765873909,7.112194116910299,7.249564858277639,7.482018299897512,7.774218606948852,7.926033659776052,8.170727463563283,8.317591341336568,8.538013490041097,8.780353705088297,9.083852875232697,9.472146805127462,9.725688195228576,9.869173542658489,10.011956969896952,10.23625902334849,10.54896119038264,10.872659742832184,11.018713927268982,11.248084978262584,11.393435875574747
cummulative feedback,0.0,225.0,371.0,412.0,461.0,502.0,536.0,555.0,580.0,600.0,627.0,655.0,676.0,681.0,697.0,708.0,719.0,725.0,733.0,737.0,738.0,748.0,749.0,755.0,764.0,767.0,771.0,774.0,774.0,780.0,784.0,789.0,791.0,793.0,793.0,794.0,798.0,802.0,802.0,803.0,804.0
Ph,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
steps_that_episode,0.0,998.0,545.0,259.0,551.0,382.0,263.0,258.0,262.0,256.0,258.0,413.0,378.0,140.0,359.0,254.0,255.0,249.0,336.0,146.0,165.0,358.0,142.0,248.0,320.0,155.0,266.0,151.0,242.0,256.0,339.0,435.0,280.0,151.0,152.0,246.0,347.0,360.0,157.0,252.0,151.0
e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
buffer size,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
human model,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
