,0
Accumulated time steps,"[0, 1000, 1159, 1536, 2122, 2613, 2887, 3358, 3623, 4098, 4449, 4604, 4859, 5200, 5454, 5798, 6063, 6523, 6890, 7149, 7409, 7565, 7729, 7981, 8239, 8485, 8740, 8914, 9160, 9333, 9583, 9843, 10128, 10382, 10578, 10833, 11117, 11376, 11533, 11689, 11848, 12150, 12418, 12694, 12952, 13308, 13574, 13732, 13889, 14157, 14416, 14572, 14726, 14990, 15145, 15433, 15681, 15953, 16205, 16475, 16632, 16878, 17031, 17191, 17348, 17599, 17772, 17922, 18080, 18328, 18485, 18747, 18995, 19153, 19532, 19691, 19841, 20105, 20379, 20647, 20990, 21245, 21514, 21793, 21950, 22103, 22260, 22623, 22895, 23184, 23388, 23747, 24043, 24200, 24362, 24515, 24716, 24884, 25042, 25195, 25350, 25604, 25762, 26027, 26297, 26558, 26716, 26870, 27030, 27183, 27338, 27594, 27755, 28110, 28266, 28538, 28907, 29277, 29553, 29707, 29861]"
Episode reward,"[0, -66.28783029594754, 90.8272569670963, 80.52802564840947, 67.80129276399964, 73.0691010482799, 84.19656078562343, 73.28279491138437, 84.9121895655726, 73.80324817611265, 81.00666320716104, 91.37043442719138, 86.36018550752368, 80.48987781233987, 85.23676974336406, 81.11232613428055, 85.39571904070635, 75.62226024929937, 80.0752465249648, 85.68813084943376, 85.1516430215998, 91.71654022481704, 90.53612842066997, 85.49772506010997, 85.69751136583884, 85.899971853431, 85.8264613403385, 89.2295433255352, 86.26643481795986, 89.14769274630649, 85.03853535156946, 86.3697339220031, 83.62143336377977, 85.4352430281802, 88.09462114398951, 86.23008544337193, 82.76839701350474, 86.0963299920182, 91.03906101475147, 90.9446663301175, 90.59896697355313, 81.33378398919659, 85.02052828015246, 83.19149889037027, 85.3137522259552, 79.36758792437146, 84.67850224000935, 90.28576195658515, 90.9017740357198, 84.11327771164757, 85.1691745352156, 90.8214484541527, 91.22501233519696, 83.63069996219947, 91.13899531096648, 83.99695704043319, 85.7876481548136, 82.73230918971784, 85.21283462220956, 84.12157063124286, 91.07276109453687, 85.7136822809001, 91.76307593050248, 91.46280125161857, 91.19079861640738, 86.51826176896866, 88.8990532220125, 91.44921102384689, 91.31302242766549, 85.05866867371859, 90.90485138480487, 85.93276305020831, 84.90743705917461, 90.17655400571299, 81.4325838365117, 91.27353676296998, 90.78240271897928, 85.06276120885643, 83.24640197278535, 83.2485966239844, 81.25633270713688, 84.60667129452699, 84.53161896840588, 81.35452387935177, 90.2408727613329, 91.06197976496537, 90.65840914486095, 78.49247036779906, 84.43845115022644, 81.9775556288484, 86.35606052847002, 76.17922308045351, 81.81865477820591, 91.24597483453772, 90.74796275251587, 90.88347095359478, 87.43433036155659, 89.95549588312196, 90.89666478562643, 90.79579029490154, 90.82195136403851, 84.68895424537615, 90.94940115011624, 83.98482746249441, 84.01051072242862, 85.32317334131272, 90.40816034152868, 91.39149864082324, 89.94375729256197, 90.55337008918735, 90.54572089784678, 84.46948342494252, 90.13424853778048, 79.2472699287145, 90.93600110672305, 83.20724293007065, 79.22041232632705, 78.91742239888652, 84.02141902096189, 90.89967456335366, 90.97751278397507]"
Episode feedback,"[0.8, 0.14228456899570685, 0.17088607486780966, 0.2127659568809416, 0.1829059825933231, 0.1836734690129113, 0.13553113503468447, 0.15106382946582164, 0.10606060565886134, 0.13080168748776017, 0.13142857105306122, 0.08441558386743127, 0.1338582671895344, 0.10294117616782007, 0.0830039522410911, 0.05830903773087744, 0.04924242405589991, 0.07625272314541891, 0.08196721289079996, 0.08527131749894838, 0.0733590730758337, 0.03225806430801249, 0.07361963145018631, 0.03984063729147157, 0.031128404548138505, 0.024489795818409, 0.05511811001922004, 0.023121387149587357, 0.020408163182007496, 0.017441860363710114, 0.04417670664989275, 0.08108108076802671, 0.017605633740825233, 0.023715414926026027, 0.020512820407626562, 0.015748031434062868, 0.007067137784215061, 0.02325581386334956, 0.006410256369165024, 0.03225806430801249, 0.01898734165197885, 0.023255813876226532, 0.014981273352130063, 0.007272727246280992, 0.01167315170555194, 0.014084507002578853, 0.011320754674261304, 0.02547770684409104, 0.012820512738330047, 0.0037453183380325157, 0.01162790693167478, 0.02580645144640999, 0.013071895339399377, 0.007604562708727899, 0.006493506451340867, 0.020905923272104797, 0.02429149787736236, 0.007380073773505263, 0.007968127458294312, 0.014869888420558036, 0.006410256369165024, 0.0, 0.01315789465027701, 0.0, 0.006410256369165024, 0.003999999984, 0.0, 0.006711409350930139, 0.0, 0.004048582979560393, 0.006410256369165024, 0.015325670439365247, 0.004048582979560393, 0.00636942671102276, 0.010582010554015845, 0.00632911388399295, 0.0, 0.0, 0.010989010948758201, 0.0, 0.0029239765996374955, 0.0, 0.0074626865393183335, 0.0, 0.0, 0.0, 0.006410256369165024, 0.0, 0.0, 0.00694444442033179, 0.009852216700235386, 0.008379888244748916, 0.0033898304969836256, 0.0, 0.0, 0.0, 0.0, 0.005988023916239378, 0.01273885342204552, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006535947669699688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00282485874908232, 0.0064516128616024975, 0.0036900368867526317, 0.002717391296963611, 0.0, 0.0, 0.0, 0.0]"
total seconds,"[0, 66.47513031959534, 78.32860016822815, 107.3640604019165, 150.0220046043396, 185.45430397987366, 204.3164460659027, 236.6620888710022, 254.36817049980164, 285.94264125823975, 309.4679865837097, 319.65677762031555, 337.0131154060364, 359.24503779411316, 375.2199065685272, 395.8713140487671, 411.69334864616394, 440.4690954685211, 463.6209535598755, 480.31402492523193, 496.7873430252075, 506.59699535369873, 517.3457527160645, 532.5092377662659, 548.0358917713165, 562.3838109970093, 577.9987020492554, 588.5986204147339, 603.39355635643, 613.6335296630859, 628.7612950801849, 645.4151022434235, 661.4864308834076, 676.0063149929047, 687.5667426586151, 702.0131478309631, 717.641083240509, 732.6891760826111, 741.8036544322968, 751.4066693782806, 761.0070197582245, 778.4415805339813, 793.9219646453857, 809.3718430995941, 824.026923418045, 844.146092414856, 859.5140910148621, 869.2335290908813, 878.5565812587738, 893.5489685535431, 908.3911607265472, 918.2258381843567, 927.4206485748291, 942.3115520477295, 951.96502161026, 968.3962016105652, 982.8307847976685, 998.7596457004547, 1013.7573447227478, 1029.5660653114319, 1038.9492695331573, 1052.669124364853, 1062.1631681919098, 1071.3495907783508, 1080.719978094101, 1094.9714305400848, 1105.1506462097168, 1114.0503923892975, 1123.451055765152, 1137.7411661148071, 1147.0032305717468, 1162.2401237487793, 1176.3738305568695, 1185.7365968227386, 1206.3937804698944, 1215.6416594982147, 1224.4850759506226, 1239.1217203140259, 1254.9358751773834, 1270.1213097572327, 1289.029889345169, 1303.213389635086, 1318.7823901176453, 1334.5554990768433, 1343.9666662216187, 1352.9191024303436, 1361.944209575653, 1381.905398607254, 1396.8882539272308, 1413.49782538414, 1425.472887992859, 1445.3285801410675, 1461.8923268318176, 1471.0678269863129, 1480.5782780647278, 1489.3325562477112, 1500.6903429031372, 1510.684112071991, 1520.298010110855, 1529.2695171833038, 1538.2912640571594, 1552.6239387989044, 1561.9488689899445, 1576.8075397014618, 1591.7950286865234, 1606.7505588531494, 1616.1814322471619, 1625.2152576446533, 1634.6447291374207, 1643.5297224521637, 1652.6281826496124, 1667.0513474941254, 1676.4651038646698, 1695.9059090614319, 1705.0480716228485, 1720.5432624816895, 1740.888248682022, 1761.347267627716, 1776.5002646446228, 1785.2284121513367, 1794.4057824611664]"
total minutes,"[0, 1.1079188386599224, 1.3054766694704691, 1.7894010066986084, 2.50036674340566, 3.0909050663312274, 3.4052741010983785, 3.9443681478500365, 4.239469508330028, 4.765710687637329, 5.157799776395162, 5.327612960338593, 5.616885256767273, 5.987417296568553, 6.253665109475453, 6.5978552341461185, 6.861555810769399, 7.341151591142019, 7.727015892664592, 8.005233748753865, 8.279789050420126, 8.443283255894979, 8.622429211934408, 8.875153962771098, 9.133931529521941, 9.37306351661682, 9.633311700820922, 9.80997700691223, 10.056559272607167, 10.227225494384765, 10.479354918003082, 10.756918370723724, 11.024773848056793, 11.26677191654841, 11.459445710976919, 11.700219130516052, 11.96068472067515, 12.211486268043519, 12.363394240538279, 12.523444489638011, 12.683450329303742, 12.974026342233023, 13.232032744089762, 13.489530718326568, 13.733782056967417, 14.0691015402476, 14.325234850247702, 14.487225484848022, 14.64260968764623, 14.892482809225719, 15.139852678775787, 15.303763969739277, 15.457010809580485, 15.705192534128825, 15.866083693504333, 16.13993669350942, 16.38051307996114, 16.645994095007577, 16.89595574537913, 17.1594344218572, 17.315821158885957, 17.54448540608088, 17.702719469865162, 17.855826512972513, 18.01199963490168, 18.249523842334746, 18.419177436828612, 18.567506539821625, 18.724184262752534, 18.962352768580118, 19.116720509529113, 19.37066872914632, 19.606230509281158, 19.76227661371231, 20.106563007831575, 20.260694324970245, 20.40808459917704, 20.652028671900432, 20.915597919623057, 21.168688495953877, 21.48383148908615, 21.72022316058477, 21.979706501960756, 22.242591651280723, 22.39944443702698, 22.548651707172393, 22.699070159594218, 23.031756643454234, 23.28147089878718, 23.558297089735667, 23.757881466547648, 24.08880966901779, 24.364872113863626, 24.517797116438548, 24.67630463441213, 24.822209270795188, 25.011505715052287, 25.178068534533182, 25.33830016851425, 25.487825286388397, 25.63818773428599, 25.877065646648408, 26.032481149832407, 26.28012566169103, 26.52991714477539, 26.779175980885825, 26.936357204119364, 27.086920960744223, 27.24407881895701, 27.392162040869394, 27.543803044160207, 27.78418912490209, 27.941085064411162, 28.2650984843572, 28.417467860380807, 28.67572104136149, 29.014804144700367, 29.35578779379527, 29.608337744077048, 29.753806869188946, 29.90676304101944]"
cummulative feedback,"[0, 142, 169, 249, 356, 446, 483, 554, 582, 644, 690, 703, 737, 772, 793, 813, 826, 861, 891, 913, 932, 937, 949, 959, 967, 973, 987, 991, 996, 999, 1010, 1031, 1036, 1042, 1046, 1050, 1052, 1058, 1059, 1064, 1067, 1074, 1078, 1080, 1083, 1088, 1091, 1095, 1097, 1098, 1101, 1105, 1107, 1109, 1110, 1116, 1122, 1124, 1126, 1130, 1131, 1131, 1133, 1133, 1134, 1135, 1135, 1136, 1136, 1137, 1138, 1142, 1143, 1144, 1148, 1149, 1149, 1149, 1152, 1152, 1153, 1153, 1155, 1155, 1155, 1155, 1156, 1156, 1156, 1158, 1160, 1163, 1164, 1164, 1164, 1164, 1164, 1165, 1167, 1167, 1167, 1167, 1167, 1167, 1167, 1167, 1167, 1168, 1168, 1168, 1168, 1168, 1168, 1169, 1170, 1171, 1172, 1172, 1172, 1172, 1172]"
e,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001]"
buffer size,"[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]"
human model,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
tau,[0.0002]
