Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
1,501,0,0,0.71999999856,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
6,1286,1,503,0.7499999889705884,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
11,1777,1,714,0.6959064286789098,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
16,2094,0,884,0.6615384513609469,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
21,2410,1,1051,0.6949152424590637,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
26,3167,1,1528,0.7076922968047339,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
31,3501,0,1707,0.6461538362130179,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
36,3820,1,1871,0.7301587185689092,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
41,4122,1,2039,0.6551724024970276,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
46,4440,0,2204,0.6323529318771628,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
51,4764,1,2380,0.6716417810202719,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
56,5095,0,2567,0.6724137815101072,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
61,5451,1,2756,0.6849314974666918,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
66,5816,1,2944,0.7424242311753905,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
71,6142,1,3108,0.5652173831127916,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
76,6498,1,3297,0.5624999912109376,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
81,6861,1,3500,0.635135126552228,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
86,7236,1,3700,0.6111111026234569,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
91,7568,1,3874,0.65151514164371,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
96,7915,1,4049,0.7058823425605538,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
101,8274,1,4238,0.6849314974666918,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
106,8625,1,4424,0.5820895435509024,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
111,8996,1,4616,0.6025640948389219,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
116,9356,0,4797,0.6714285618367348,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
121,9696,0,4976,0.6338028079746083,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
126,10052,1,5160,0.5555555467372135,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
131,10386,1,5305,0.5675675598977357,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
136,10731,1,5488,0.7619047498110357,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
141,11084,1,5667,0.5999999900000001,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
146,11436,1,5833,0.6393442518140287,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
151,11797,1,5999,0.6666666581196582,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
156,12142,1,6167,0.6615384513609469,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
161,12517,1,6361,0.6756756665449235,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
166,12865,1,6534,0.6376811501785341,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
171,13212,1,6699,0.633333322777778,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
176,13543,1,6870,0.6093749904785158,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
181,13889,1,7031,0.5555555486968451,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
186,14246,1,7202,0.6133333251555557,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
191,14633,1,7378,0.5813953420767983,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
196,14991,1,7571,0.6153846059171599,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
201,15323,1,7730,0.535211260067447,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
206,15695,1,7924,0.58730157797934,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
211,16035,1,8079,0.4868420988573408,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
216,16412,1,8260,0.6268656622855872,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
221,16786,1,8419,0.5569620182663035,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
226,17193,1,8610,0.5180722829147918,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
231,17531,1,8783,0.6060605968778697,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
236,17911,1,8957,0.5555555486968451,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
241,18253,1,9111,0.5897435821827746,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
246,18617,0,9286,0.5714285640074213,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
251,18989,1,9440,0.48809523228458057,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
256,19368,1,9611,0.61842104449446,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
261,19693,1,9769,0.5774647805990876,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
266,20029,1,9919,0.6031745936004033,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
271,20386,1,10114,0.5172413703923902,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
276,20753,1,10278,0.6874999914062502,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
281,21104,1,10442,0.5614034989227457,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
286,21439,1,10601,0.6031745936004033,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
291,21765,0,10744,0.6153846059171599,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
296,22156,1,10919,0.5368420996121884,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
301,22522,1,11069,0.49999999324324335,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
306,22887,1,11233,0.4411764641003461,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
311,23223,1,11384,0.5396825311161503,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
316,23547,1,11542,0.6290322479188347,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
321,23901,1,11716,0.4603174530108341,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
326,24275,1,11888,0.5131578879847647,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
331,24602,1,12040,0.47692306958579894,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
336,24957,1,12199,0.49275361604704904,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
341,25294,1,12342,0.4736842042936289,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
346,25631,0,12494,0.5373134248162176,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
351,25991,1,12652,0.5421686681666426,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
356,26325,1,12808,0.5806451519250783,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
361,26686,1,12961,0.4814814755372657,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
366,27031,1,13108,0.5066666599111113,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
371,27368,1,13271,0.499999991935484,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
376,27702,1,13408,0.4843749924316408,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
381,28066,1,13566,0.5652173831127916,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
386,28428,1,13718,0.5844155768257717,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
391,28758,1,13864,0.6266666583111112,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
396,29108,1,14018,0.5138888817515433,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
401,29497,1,14180,0.5666666572222224,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
406,29852,1,14330,0.4603174530108341,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
411,30176,1,14459,0.4920634842529606,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
416,30534,1,14600,0.5714285632653062,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
421,30897,1,14748,0.5277777704475309,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
426,31240,1,14896,0.58730157797934,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
431,31589,1,15035,0.4871794809335964,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
436,31931,1,15171,0.5066666599111113,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
441,32284,1,15309,0.552941169965398,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
446,32631,1,15448,0.4920634842529606,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
451,32984,1,15581,0.5797101365259401,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
456,33302,1,15715,0.5312499916992189,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
461,33625,1,15840,0.48333332527777795,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
466,33987,0,15985,0.4583333269675927,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
471,34322,0,16119,0.47142856469387767,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
476,34665,1,16251,0.460526309729917,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
481,35015,1,16391,0.3823529355536333,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
486,35365,1,16550,0.47887323269192633,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
491,35712,1,16693,0.4218749934082032,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
496,36079,1,16827,0.45121950669244504,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
501,36454,1,16974,0.4799999936000001,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
506,36823,1,17115,0.4303797413875982,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
511,37151,1,17241,0.5156249919433595,0.1,500,False,1e-05,0.001,0.001,0.001,False,20
