Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
1,501,1,0,0.6359999987280001,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
6,1359,1,537,0.7820512720249837,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
11,2221,1,1065,0.62068964803805,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
16,4124,0,2180,0.6225165542300777,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
21,5717,0,3126,0.6701570645541515,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
26,7278,1,4067,0.6386554568180214,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
31,8138,0,4581,0.6962025228328795,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
36,8579,1,4801,0.6967213057645795,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
41,8998,1,5037,0.523809515495087,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
46,9790,1,5478,0.5820895435509024,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
51,10140,1,5662,0.5522387977277792,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
56,10484,1,5839,0.5373134248162176,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
61,10817,1,6006,0.6567164081087103,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
66,11151,1,6169,0.553846145325444,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
71,11465,1,6332,0.553846145325444,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
76,11796,1,6503,0.7164178997549567,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
81,12125,1,6682,0.7538461422485209,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
86,12446,1,6843,0.6363636267217633,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
91,13642,0,7267,0.591999998816,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
96,14495,1,7713,0.6799999909333335,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
101,15728,1,8408,0.6624999917187501,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
106,16237,1,8630,0.5413533793883205,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
111,17716,1,9363,0.6153846130177515,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
116,18695,1,9891,0.6372548957131873,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
121,20046,0,10566,0.5155279471085221,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
126,21320,0,11250,0.6623376537358746,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
131,21760,1,11446,0.589041087821355,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
136,22458,1,11631,0.5333333319111111,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
141,22888,1,11814,0.6666666584362141,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
146,23715,0,12220,0.5350877146044938,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
151,24519,0,12602,0.6304347757561437,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
156,25952,0,13111,0.5719999988560001,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
161,26923,0,13533,0.5562499965234375,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
166,27754,0,13922,0.5348837147106545,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
171,28147,1,14085,0.5696202459541742,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
176,28892,1,14444,0.45070421900416596,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
181,29284,0,14601,0.4499999943750001,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
186,29640,1,14734,0.5571428491836736,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
191,29997,1,14876,0.5138888817515433,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
196,30351,1,15016,0.4285714224489797,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
201,30696,0,15167,0.39393938797061534,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
206,31463,0,15304,0.511999998976,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
211,32241,0,15649,0.5588235211937718,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
216,32581,1,15784,0.5294117569204153,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
221,32942,0,15932,0.506849308125352,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
226,33275,1,16057,0.43749999316406263,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
231,33649,1,16209,0.47142856469387767,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
236,34002,0,16352,0.4925373060815328,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
241,34350,1,16500,0.43283581443528635,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
246,35546,1,17036,0.5142857069387756,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
251,35891,1,17166,0.40298506861216316,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
256,36231,1,17302,0.5714285632653062,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
261,36581,1,17446,0.47887323269192633,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
266,36917,1,17572,0.4925373060815328,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
271,37254,0,17705,0.4366197121602858,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
276,37581,0,17816,0.3906249938964845,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
281,37915,1,17951,0.49999999264705897,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
286,38256,1,18081,0.4084506984725254,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
291,38597,1,18204,0.5070422463796866,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
296,38956,1,18345,0.3846153796844182,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
301,39726,1,18477,0.433999999132,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
306,40509,1,18811,0.42647058196366794,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
311,40907,1,18988,0.486111104359568,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
316,41299,0,19130,0.4606741521272567,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
321,41709,1,19275,0.47126436239926023,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
326,42586,1,19443,0.475999999048,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
331,43047,1,19603,0.4651162736614387,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
336,43444,1,19734,0.4675324614606174,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
341,43882,1,19886,0.5897435821827746,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
346,44285,1,20048,0.3837209257706869,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
351,44672,1,20183,0.4358974303090073,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
356,45051,1,20330,0.4929577395358065,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
361,45407,1,20469,0.43478260239445504,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
366,46210,1,20778,0.47191010705718983,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
371,46609,1,20915,0.45238094699546494,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
376,47037,0,21055,0.47435896827744917,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
381,47403,1,21169,0.5113636305526861,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
386,47772,1,21283,0.47887323269192633,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
391,48575,1,21588,0.49999999324324335,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
396,49118,1,21803,0.39130434215500953,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
401,49489,1,21937,0.32812499487304697,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
406,49835,1,22060,0.4133333278222223,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
411,50189,1,22177,0.33333332828282836,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
416,50538,1,22302,0.34848484320477513,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
421,50885,1,22427,0.45588234623702434,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
426,51216,1,22563,0.36619717794088485,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
431,51550,1,22684,0.4687499926757814,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
436,51879,1,22794,0.42424241781450883,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
441,52207,0,22912,0.5079364998740238,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
446,52527,1,23032,0.3275862012485138,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
451,52845,1,23133,0.41935483194588985,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
456,53154,0,23238,0.4516128959417275,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
461,53480,1,23350,0.5588235211937718,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
466,53796,1,23446,0.25423728382648675,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
471,54127,1,23547,0.44285713653061237,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
476,54444,1,23651,0.30769230295857997,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
481,54771,1,23756,0.399999993846154,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
486,55099,1,23870,0.44776118734684794,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
491,55417,1,23971,0.46153845443786995,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
496,55739,1,24079,0.33333332828282836,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
501,56059,1,24183,0.4285714224489797,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
506,56406,1,24305,0.4520547883280166,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
511,56752,1,24416,0.41538460899408297,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
516,57101,1,24529,0.43076922414201196,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
521,57454,1,24644,0.47619046863189735,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
526,57807,1,24742,0.3199999957333334,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
531,58577,1,25022,0.38983050186727963,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
536,58911,1,25125,0.35384614840236694,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
541,59238,1,25231,0.4776119331699712,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
546,59586,1,25334,0.3194444400077161,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
551,59955,0,25449,0.2816901368776037,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
556,60306,1,25563,0.3199999957333334,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
561,60661,1,25678,0.3787878730486686,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
566,61017,1,25789,0.4736842042936289,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
571,61340,1,25900,0.3593749943847657,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
576,61676,0,26010,0.35384614840236694,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
581,62031,1,26128,0.39393938797061534,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
586,62368,1,26229,0.4383561583786828,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
