Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
1,184,0,0,0.6338797779569411,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
6,489,1,174,0.6428571313775513,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
11,959,1,450,0.6393442518140287,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
16,1371,1,678,0.5802469064167048,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
21,1691,0,860,0.633333322777778,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
26,2040,1,1043,0.690476182256236,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
31,2403,1,1246,0.7049180212308521,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
36,2757,1,1441,0.6551724024970276,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
41,3089,1,1623,0.6825396717057195,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
46,3419,1,1799,0.6349206248425298,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
51,3745,1,1976,0.633333322777778,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
56,4093,0,2166,0.5774647805990876,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
61,4436,1,2352,0.6029411676038063,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
66,4772,1,2549,0.7096774079084289,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
71,5115,1,2722,0.6721311365224404,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
76,5448,1,2872,0.6374999920312501,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
81,5821,1,3068,0.6666666570048311,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
86,6161,1,3258,0.6909090783471077,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
91,6512,1,3441,0.6428571336734695,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
96,6842,1,3608,0.689189179875822,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
101,7178,1,3775,0.6440677856937663,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
106,7509,1,3939,0.6060605968778697,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
111,7854,1,4111,0.781249987792969,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
116,8206,1,4293,0.7121212013314969,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
121,8546,1,4476,0.6461538362130179,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
126,8886,0,4654,0.6857142759183675,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
131,9239,1,4832,0.7124999910937502,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
136,9583,1,5004,0.6219512119274243,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
141,9930,1,5190,0.6779660902039646,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
146,10261,1,5348,0.5526315716759004,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
151,10588,1,5506,0.5555555467372135,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
156,10925,1,5677,0.6885245788766463,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
161,11247,1,5841,0.6779660902039646,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
166,11573,1,5998,0.6666666577777779,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
171,11925,0,6160,0.6666666584362141,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
176,12252,0,6322,0.5396825311161503,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
181,12575,1,6475,0.6349206248425298,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
186,12903,1,6635,0.58730157797934,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
191,13245,1,6808,0.5737704823972052,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
196,13581,1,6985,0.6949152424590637,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
201,13921,1,7145,0.6666666581196582,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
206,14252,1,7314,0.6111111026234569,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
211,14586,1,7466,0.6229508094598228,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
216,14895,1,7627,0.5937499907226564,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
221,15210,1,7779,0.6290322479188347,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
226,15569,1,7945,0.6219512119274243,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
231,15997,1,8152,0.5999999900000001,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
236,16436,1,8375,0.58730157797934,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
241,16758,1,8540,0.6923076816568049,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
246,17117,1,8705,0.6142857055102042,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
251,17488,1,8867,0.6739130361531191,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
256,17834,1,9032,0.5312499916992189,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
261,18148,1,9164,0.5671641706393408,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
266,18459,1,9306,0.5205479380746858,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
271,18811,0,9477,0.5441176390570935,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
276,19160,1,9614,0.56410255687048,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
281,19482,1,9762,0.5156249919433595,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
286,19831,1,9926,0.5322580559313217,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
291,20210,1,10117,0.6307692210650889,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
296,20534,1,10274,0.5633802737552074,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
301,20847,1,10425,0.5573770400429994,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
306,21202,1,10584,0.4698795124110902,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
311,21573,1,10758,0.6666666570048311,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
316,21925,1,10902,0.6290322479188347,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
321,22292,1,11076,0.486111104359568,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
326,22636,1,11233,0.5606060521120295,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
331,22986,1,11384,0.4057970955681581,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
336,23343,1,11537,0.5909090819559231,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
341,23696,1,11706,0.4545454476584023,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
346,24026,0,11860,0.4838709599375652,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
351,24350,1,12006,0.6031745936004033,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
356,24713,1,12159,0.5421686681666426,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
361,25055,1,12309,0.6103896024624728,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
366,25431,1,12485,0.5124999935937501,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
371,25755,1,12625,0.5555555467372135,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
376,26118,1,12773,0.5874999926562501,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
381,26467,1,12923,0.403225799947971,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
386,26815,1,13053,0.5454545392561985,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
391,27152,0,13216,0.5573770400429994,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
396,27479,1,13362,0.58730157797934,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
401,27816,1,13498,0.6093749904785158,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
406,28171,1,13652,0.4166666608796297,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
411,28521,0,13808,0.6323529318771628,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
416,28848,1,13939,0.47457626314277523,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
421,29190,1,14102,0.4868420988573408,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
426,29533,0,14238,0.5128205062458909,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
431,29889,1,14383,0.5263157825484766,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
436,30260,1,14534,0.49999999264705897,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
441,30615,1,14693,0.5666666572222224,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
446,30961,1,14833,0.5479451979733535,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
451,31315,1,14980,0.5151515073461893,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
456,31628,1,15131,0.44999999250000017,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
461,32015,1,15287,0.5671641706393408,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
466,32354,0,15431,0.5245901553345876,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
471,32693,0,15560,0.5064934999156688,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
476,33036,1,15703,0.44444443738977085,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
481,33386,1,15834,0.4918032706261759,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
486,33743,1,15975,0.4111111065432099,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
491,34130,1,16126,0.44318181314566124,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
496,34474,1,16262,0.49999999242424253,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
501,34803,1,16397,0.499999991935484,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
506,35185,1,16542,0.45901638591776417,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
511,35528,1,16677,0.43749999316406263,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
516,35866,1,16802,0.4285714217687076,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
521,36288,1,16961,0.5555555467372135,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
526,36635,1,17106,0.444444438271605,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
531,36998,1,17244,0.4999999934210527,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
536,37382,1,17392,0.49999999305555565,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
541,37818,1,17572,0.47142856469387767,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
546,38187,0,17702,0.5066666599111113,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
551,38566,0,17847,0.569230760473373,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
556,38975,1,18008,0.4838709599375652,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
561,39311,1,18135,0.4776119331699712,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
566,39629,0,18252,0.4843749924316408,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
571,40036,1,18392,0.46376810922075207,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
576,40413,1,18522,0.43749999316406263,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
581,40768,1,18646,0.5061728332571255,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
586,41114,1,18758,0.5609756029149316,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
591,41461,1,18878,0.41538460899408297,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
596,41790,1,19008,0.292307687810651,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
601,42138,1,19144,0.5199999930666668,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
606,42520,0,19301,0.5333333244444446,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
611,42863,1,19442,0.3770491741467349,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
616,43268,1,19583,0.4366197121602858,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
621,43599,1,19710,0.41269840614764436,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
626,43936,0,19819,0.42307691765286004,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
631,44304,1,19946,0.4374999945312501,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
636,44648,1,20066,0.5161290239334029,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
641,45055,1,20199,0.43478260239445504,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
646,45425,1,20338,0.4642857087585035,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
651,45781,0,20466,0.578124990966797,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
656,46118,1,20583,0.4393939327364556,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
661,46496,1,20716,0.4749999940625001,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
666,46871,1,20840,0.5066666599111113,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
671,47212,1,20938,0.4146341412849495,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
676,47561,1,21040,0.4399999941333334,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
681,47907,1,21151,0.4078947314750693,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
686,48358,1,21287,0.45945945325054793,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
691,48700,1,21392,0.4404761852324264,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
696,49044,1,21501,0.46835442445120984,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
701,49459,1,21637,0.49999999305555565,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
706,49795,1,21756,0.3770491741467349,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
711,50138,0,21879,0.4109588984800151,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
716,50507,1,22005,0.3676470534169551,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
721,50831,1,22120,0.5254237199080726,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
726,51192,0,22241,0.40298506861216316,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
731,51538,1,22354,0.43478260239445504,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
736,51874,1,22464,0.40983605885514657,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
741,52237,1,22577,0.5074626789930944,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
746,52592,1,22690,0.457142850612245,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
751,52946,1,22812,0.27536231484982154,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
756,53322,1,22943,0.4084506984725254,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
761,53701,1,23056,0.3846153796844182,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
766,54034,0,23161,0.42028984898130656,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
771,54384,1,23268,0.4868420988573408,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
776,54726,1,23380,0.354430375260375,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
781,55073,1,23490,0.38095237490551787,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
786,55403,1,23592,0.499999991935484,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
791,55782,1,23707,0.40540539992695407,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
796,56142,0,23821,0.39999999428571437,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
801,56486,1,23924,0.4285714217687076,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
806,56841,1,24027,0.3947368369113574,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
811,57177,1,24136,0.3823529355536333,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
816,57524,1,24242,0.3770491741467349,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
821,57878,1,24355,0.4393939327364556,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
826,58226,1,24469,0.39999999333333347,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
831,58583,1,24585,0.49999999218750013,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
836,58925,1,24708,0.4576271108876761,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
841,59286,1,24815,0.4102564049967128,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
846,59724,0,24942,0.26241134565665714,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
851,60078,1,25033,0.3770491741467349,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
856,60500,1,25160,0.43283581443528635,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
861,60841,1,25271,0.38709676795005216,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
866,61249,1,25406,0.31325300827406016,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
871,61602,1,25503,0.44615383928994096,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
876,61955,1,25605,0.3650793592844546,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
881,62281,1,25710,0.29032257596253913,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
886,62630,0,25815,0.34285713795918377,0.01,50000,True,1e-05,0.001,0.001,0.001,False,20
