Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
1,151,0,0,0.6199999958666667,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
6,940,1,503,0.679012337296144,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
11,1325,1,711,0.6615384513609469,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
16,1650,0,905,0.6065573671056169,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
21,1979,1,1086,0.7413792975624259,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
26,2333,0,1288,0.720588224697232,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
31,2695,0,1480,0.6883116793725756,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
36,3217,0,1727,0.7006802673423111,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
41,3552,1,1903,0.6984126873267827,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
46,3893,1,2077,0.7654320893156532,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
51,4244,1,2259,0.7042253421940093,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
56,4613,1,2457,0.5694444365354939,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
61,4924,1,2622,0.6923076816568049,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
66,5291,1,2820,0.597014916462464,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
71,5636,0,3007,0.6865671539318335,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
76,5958,1,3195,0.4999999913793105,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
81,6280,1,3359,0.6984126873267827,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
86,6675,1,3551,0.6703296629634103,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
91,7027,1,3749,0.5833333236111113,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
96,7398,0,3922,0.6836734624114953,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
101,7762,1,4114,0.6769230665088759,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
106,8112,1,4304,0.7142857040816328,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
111,8459,1,4490,0.6615384513609469,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
116,8810,1,4642,0.6266666583111112,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
121,9205,1,4859,0.5892857037627554,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
126,9569,0,5030,0.6027397177706888,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
131,9963,1,5230,0.6901408353501292,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
136,10309,1,5398,0.5517241315893778,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
141,10689,0,5572,0.5882352854671282,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
146,11056,1,5757,0.588235287197232,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
151,11421,1,5947,0.6521739035916826,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
156,11797,1,6151,0.6428571336734695,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
161,12135,1,6317,0.6486486398831265,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
166,12526,1,6500,0.5581395283937264,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
171,12868,0,6669,0.6219512119274243,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
176,13256,1,6871,0.5972222139274693,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
181,13589,0,7027,0.6666666570048311,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
186,13948,0,7201,0.5731707247174302,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
191,14339,1,7388,0.45070421900416596,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
196,14689,1,7557,0.5694444365354939,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
201,15033,0,7706,0.686046503650622,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
206,15444,1,7903,0.5285714210204083,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
211,15814,1,8070,0.5507246296996431,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
216,16178,0,8257,0.5441176390570935,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
221,16526,0,8427,0.5769230695266273,0.01,50000,True,1e-05,0.001,0.001,0.001,True,20
