Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
1,134,0,0,0.6842105211713495,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
6,991,1,521,0.7052631504709143,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
11,1534,0,818,0.6822429842781029,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
16,2080,1,1071,0.6923076882111971,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
21,3163,0,1666,0.7333333288888889,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
26,4164,1,2256,0.721311469497447,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
31,5114,1,2562,0.645999998708,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
36,7233,0,3594,0.641999998716,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
41,8187,0,4137,0.6090909035537191,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
46,8682,1,4363,0.5957446766259243,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
51,9584,0,4630,0.631999998736,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
56,10099,0,4887,0.6063829722725216,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
61,11050,1,5415,0.6722689019137067,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
66,12078,0,5958,0.6198347056212008,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
71,13816,0,6722,0.6039999987920001,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
76,14763,0,6990,0.597999998804,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
81,15874,1,7516,0.5933014325679358,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
86,16803,1,7997,0.5585585535264995,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
91,17537,1,8302,0.5198019776247427,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
96,18479,1,8766,0.6354166600477431,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
101,19836,0,9267,0.56999999886,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
106,20790,0,9750,0.5074626827801293,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
111,22138,1,10487,0.5681818117252067,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
116,23083,1,10744,0.547999998904,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
121,24365,0,11185,0.555999998888,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
126,25652,0,11819,0.5754716926842294,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
131,27036,0,12315,0.517999998964,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
136,28019,0,12583,0.505999998988,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
141,28894,0,13009,0.49999999218750013,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
146,29734,1,13413,0.453333327288889,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
151,31017,0,14034,0.4999999950980393,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
156,31847,1,14413,0.5060240902888664,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
161,32761,0,14833,0.5054944999396209,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
166,33641,1,15010,0.523999998952,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
171,34069,0,15176,0.5444444383950618,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
176,34539,1,15363,0.5632183843308232,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
181,35905,1,15937,0.5260115576531124,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
186,36369,1,16102,0.5384615332840237,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
191,37695,1,16692,0.4822695001257482,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
196,38551,1,16864,0.443999999112,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
201,39619,1,17291,0.5046728924796926,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
206,40894,0,17651,0.447999999104,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
211,42222,0,18233,0.45833332855902786,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
216,43082,1,18582,0.4868420988573408,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
221,44191,1,19036,0.48958332823350703,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
226,45467,0,19359,0.447999999104,0.1,50000,False,1e-05,0.001,0.001,0.001,False,20
