Episode,Timesteps,Success,Feedback,Percentage_feedback,e,Buffer_size,Human_model,Tau,Human_model_lr,Policy_lr,Policy_batch_lr,Absolute_pos,Buffer_sampling_size
0,0,0,0,0.7,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
1,252,0,0,0.7450199173505183,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
6,1480,0,726,0.7098765388279226,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
11,2667,0,1410,0.6758241721108562,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
16,3666,0,1783,0.657999998684,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
21,4692,0,2389,0.7346938700541442,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
26,5757,0,3031,0.627272721570248,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
31,7440,0,4056,0.5937499938151043,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
36,8514,0,4622,0.5789473646121884,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
41,9818,1,5111,0.63999999872,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
46,11383,1,5796,0.633999998732,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
51,11877,1,6056,0.5925925852766347,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
56,12966,0,6630,0.586206893182719,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
61,14063,0,7150,0.6196078407074203,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
66,15045,1,7688,0.6262626199367413,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
71,16083,0,8184,0.5551470567825476,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
76,17322,1,8625,0.607999998784,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
81,18193,1,9091,0.5833333252314816,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
86,19433,0,9527,0.555999998888,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
91,20851,1,10033,0.575999998848,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
96,21702,1,10466,0.5844155768257717,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
101,22093,0,10631,0.5294117584775088,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
106,22875,1,11038,0.5428571351020409,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
111,23650,0,11441,0.5322580559313217,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
116,24731,1,11972,0.5054944999396209,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
121,26464,0,12619,0.511999998976,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
126,27684,0,13225,0.5104166613498264,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
131,29140,0,13952,0.49275361604704904,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
136,30061,0,14382,0.46153845562130186,0.1,500,False,1e-05,0.001,0.001,0.001,True,20
